Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-4P-AA8J,0.003725732,0,0.05584048,0.049868592,0,0.006115784,0,0.074777876,0.112959032,0,0.058545925,0.003013717,0,0.391083266,0.044290887,0.159858117,0.006930179,0,0,0.017797139,0.015193275,0,0,0.67383497,0.752774799
TCGA-BA-4074,0,0,0.012739599,0.01388615,0,0.228158269,0,0.005754305,0,0,0.055802741,0,0,0.300287048,0.025232524,0.049059883,0,0.150648903,0,0.138651762,0,0.019778815,0.014,0.217136197,1.021477606
TCGA-BA-4075,0.003214278,0,0.006785133,0.015414172,0.054600464,0.173321819,0,0,0,0,0.132186422,0,0,0.255839264,0.00358127,0.107500707,0.000983317,0,0,0.184486525,0.005051352,0.057035275,0.093,0.12239279,1.070339694
TCGA-BA-4076,0.011555581,0,0.015280666,0,0,0.08083356,0.002057424,0.088914685,0.037462288,0,0.077880894,0,0.00397031,0.371783933,0,0,0,0.088477854,0,0.211214335,0.01056847,0,0.065,0.142847866,1.072607731
TCGA-BA-4077,0.009403288,0,0.0083023,0.031094191,0,0.111327394,0,0.047044006,0.050900258,0,0.039192577,0.019716862,0.001248196,0.120064068,0.294777403,0.068750921,0.036446078,0.037197472,0.124534985,0,0,0,0,0.526358688,0.853642589
TCGA-BA-4078,0.042602115,0,0.022036251,0.044291041,0,0.201458099,0,0.098257783,0.017627012,0,0.051220484,0,0.021090614,0,0.061759174,0.243944462,0.118193855,0.017895816,0.050829546,0.008565255,0,0.000228493,0.108,0.116444074,1.03343676
TCGA-BA-5149,0.001442272,0,0.015675109,0.073854384,0,0.214430386,0,0.121372966,0.031047883,0,0.002728106,0,0.014676178,0.210103382,0.168938857,0.028431459,0.013304658,0.040824299,0,0.054560606,0.008609455,0,0.029,0.185812026,1.035176694
TCGA-BA-5151,0.00264625,0,0.030992617,0,0,0.285990351,0,0.075256015,0.01548874,0,0.018417231,0,0.045332508,0.116880337,0.000582519,0.07412354,0,0.101143162,0,0.157868813,0,0.075277916,0.064,0.146362384,1.033643132
TCGA-BA-5152,0,0.026317165,0,0.035797794,0,0.142647776,0.008104117,0.122530643,0.074697819,0,0.070196881,0,0.022325084,0.11788177,0.089341771,0.081145617,0.018154042,0.168546795,0,0.022312728,0,0,0.004,0.257650309,0.989623419
TCGA-BA-5153,0,0,0.053010973,0.137513322,0,0.230093661,0.040954652,0.105565368,0.050775443,0,0.15258162,0,0,0.053170916,0.032935413,0.108381125,0.004503788,0.029081591,0,0.001432127,0,0,0.016,0.206042663,1.021251434
TCGA-BA-5555,0.007842154,0,0.195882972,0.063503752,0,0.076557125,0.012388341,0.089759177,0.043553842,0,0.038660527,0.015249372,0.000883173,0.158934985,0.06061592,0.114196435,0.003011682,0.048433159,0.065156372,0,0,0.005371013,0.107,0.11760543,1.025350444
TCGA-BA-5556,0.059713395,0,0.010535633,0.095908925,0,0.188609166,0.034876591,0.075271032,0.024284159,0,0.095820518,0,0.020228411,0.056206487,0.162061737,0.088159279,0,0.043822483,0.044502185,0,0,0,0,0.426105623,0.906071624
TCGA-BA-5557,0.018230978,0,0,0,0,0.038695272,7.17E-05,0,0.026871275,0,0.044539745,0,0,0.615678219,0,0.029550647,0,0.058401149,0,0.110099089,0,0.057861889,0,0.687528388,0.726018744
TCGA-BA-5558,0.006924353,0,0.00597858,0.032905794,0,0.159225984,0.017172991,0.022154783,0.063030128,0,0.094362586,0,0.001594671,0.21617769,0.122753476,0.129323516,0,0.016453272,0.101590598,0,0,0.010351579,0.01,0.227294631,1.001455923
TCGA-BA-5559,0.011741547,0,0.019424037,0.15791502,0,0.101033912,0.055550514,0.078671369,0.061908909,0,0.094504916,0,0.012073204,0.045078877,0.142172019,0.15713507,0.002537223,0.005755947,0.054497436,0,0,0,0,0.42442742,0.905847133
TCGA-BA-6868,0.051609078,0,0.001391077,0,0.011957536,0.115062009,0,0.018068015,0,0,0.06685966,0,0,0.537871728,0.053116806,0.00207458,0,0.11152569,0,0.01556689,0,0.014896929,0,0.644132856,0.764624391
TCGA-BA-6869,0,0.026519805,0.068060151,0.207635961,0,0.003950177,0.000930936,0.159975807,0.080810437,0,0.06397812,0,0.042001681,0.065195121,0.026387337,0.001407194,0,0.042437982,0,0.172469816,0.002355026,0.03588445,0.32,0.062003023,1.074697067
TCGA-BA-6870,0.041321022,0.029809097,0.212302824,0.060790809,0,0,0,0.151768151,0.043595423,0,0.034111444,0,0.024169286,0.185217633,0.007325902,0.052123857,0.043459694,0.031653514,0,0.082351344,0,0,0.025,0.191664714,0.997784789
TCGA-BA-6871,0.022438843,0,0,0.03333697,0,0.236358133,0.01713382,0.166249559,0.019039846,0,0.11979215,0,0.040854047,0.218435445,0.064928071,0.013910832,0,0.032951144,0.011631037,8.98E-05,0.002850276,0,0.032,0.180890787,1.027048058
TCGA-BA-6872,0,0,0,0.015086213,0,0.087610084,0,0.063961102,0.03927007,0,0.033194832,0,0,0.492507987,0.071572506,0.102908919,0,0.024011999,0,0.062409038,0,0.007467249,0,0.500491192,0.87188435
TCGA-BA-6873,0,0,0.008942334,0.020659147,0,0.31335871,0.047952021,0.010896668,0,0,0.127359347,0,0.004899801,0.195753096,0.09336575,0.114216047,0.007022296,0.028558377,0,0.027016406,0,0,0,0.415552231,0.91112939
TCGA-BA-7269,0.002319779,0,0.044971774,0.078951243,0,0.06552139,0.001255835,0.147371057,0.048895003,0,0.003154465,0.009254434,0.032174547,0.363624567,0.004138951,0.139101849,0,0.036580437,0.001760749,0.02092392,0,0,0,0.472749797,0.881779516
TCGA-BA-A4IF,0.011910968,0,0.311836382,0,0,0.039445225,0,0.131857207,0,0,0.098876775,0.027104329,0.005262995,0.268927709,0.012332917,0.027573169,0.018856241,0.043586388,0,0.002429694,0,0,0.248,0.07627932,1.048559303
TCGA-BA-A4IG,0.067632765,0.092633816,0.026485199,0.091432756,0,0.175544987,0.055778849,0.12775281,0,0,0.066524672,0,0.003729635,0.07064188,0.113551606,0.072133055,0.002055877,0.02403126,0.010070835,0,0,0,0.052,0.15367662,1.031531026
TCGA-BA-A4IH,0.104880735,0,0.061447241,0.023872162,0,0.111606568,0.040748684,0.152139599,0.032048318,0,0.042910815,0,0,0.146198856,0.122118363,0.042867632,0,0.114472234,0.004688791,0,0,0,0.076,0.134233239,1.041753686
TCGA-BA-A4II,0,0,0.05812736,0,0,0.198271894,0,0.131737718,0.015092435,0,0.097334551,0,0.012986584,0.166824381,0.046195397,0.068140597,0,0.128440646,0,0.052565998,0,0.024282439,0.038,0.170703298,1.020987509
TCGA-BA-A6D8,0.002600133,0,0.006967123,0.013532462,0,0.021566669,0,0.213507706,0.035124945,0,0.050409998,0,0.08477936,0.261846074,0.013585948,0.209438418,0,0.003043818,0,0.083597345,0,0,0,0.611950935,0.799770496
