,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
AP006222.2,0.0641922150339447,0.11577738847474,0.0395065284152545,0.0592549926069806,0.0230304056478362,0.0233641715547959,0.0,0.0700679898739715,0.40023254830225,0.0656115454915763,0.0,0.0663143551900724,0.0458096926494154,0.0247408122568702,0.0673925266012974,0.0938486169529591,0.0134838353583382,0.0,0.566119676759144,0.123508379630539,0.157467653482672,0.0833853830744725,0.303439611905603,0.0606831440752813,0.0894099085451806
LINC00115,0.0431495252138271,0.0453261412890558,0.0,0.0386965008164568,0.0230304056478362,0.0,0.0,0.0065639768886947,0.0,0.0,0.0,0.0,0.0,0.0661186398334116,0.0289733089704723,0.0201293308792514,0.0343954025180933,0.101191706604279,0.0,0.0,0.0,0.0460026590012163,0.0,0.0251456365704174,0.0207799890202235
FAM41C,0.12691739214531,0.0,0.0,0.0156899609282773,0.0,0.0,0.0,0.0127113984324087,0.0,0.0315237493647955,0.0,0.0953056186178792,0.0542216066328005,0.0234702551278651,0.0591119231557744,0.0453870898773099,0.0417400072410106,0.161944723572429,0.0,0.106799849487556,0.0633150237387448,0.0420542878117205,0.0,0.0082652521932215,0.0
NOC2L,0.254446948605813,0.212384963703775,0.244598726990691,0.173047558905737,0.155199149320865,0.218360820385151,0.333667398619944,0.191993759550056,0.217881476238229,0.147854063198378,0.202109122535952,0.137932693976255,0.114871468876427,0.206367579554802,0.211286043081166,0.157200340102514,0.260137861978306,0.32267225068935,0.193119224047683,0.53755410258248,0.206277433920017,0.138057380574248,0.100232009807046,0.149192380403869,0.148506039056162
PLEKHN1,0.0,0.0,0.0303018547930371,0.0304784629943632,0.0467577447674946,0.0916724183646952,0.0,0.0473186091165111,0.0,0.0659070941933293,0.0,0.0958767932533535,0.0,0.0,0.0163926845839292,0.0429662430034138,0.0543093959200769,0.0,0.203835773335436,0.0,0.0515285396643825,0.0211732269132831,0.13374774228401,0.0252281358398582,0.0285038649929008
HES4,0.101312733534776,0.220780823806675,0.0421505324475295,0.0,0.109613492796669,0.168709835307542,0.105028396898742,0.0691411365823965,0.296492588809012,0.400309231463772,0.257189685647276,0.115184639304684,0.094433440393313,0.0719535957434682,0.0786236215106534,0.0217687267772795,0.0340203994902946,0.0,0.203835773335436,0.0,0.0267665215344207,0.0466669859537895,0.0,0.083015167921877,0.0513586597335274
ISG15,0.443845665722577,1.12000554391553,0.631741308400716,0.609893796150672,0.968516798321696,1.51719748081269,0.808481322216752,1.82790570072847,0.230392116894657,2.94731903880876,1.13036146024632,0.828849412116629,0.896090242750529,0.811949730032998,1.06576951968661,0.50371235776216,0.439556239493974,0.764345995430178,0.602873189860881,0.333891462503498,0.838013060421432,0.712833019878612,1.15640402892035,0.530382035583626,1.03786779461254
C1orf159,0.0,0.0,0.0,0.0288899983081215,0.0,0.0,0.0,0.023081478230457,0.0,0.0096121679905373,0.0,0.117656455559777,0.0220359526610308,0.0242599401105399,0.0090423369888633,0.0618811697361838,0.0249443677461202,0.0,0.0,0.0,0.0254196153404298,0.0219158417364125,0.0,0.0386930696612326,0.0411007727389248
TTLL10,0.113159891881787,0.0453261412890558,0.0,0.0,0.0,0.0132802228891915,0.0540728673430927,0.0477632008392412,0.17923333547033,0.126445817726971,0.0570841110824028,0.0,0.026880429748603,0.0251297732468003,0.071793987026642,0.0514300827507724,0.0203521410423396,0.0,0.0,0.0915431768413062,0.0772150859438878,0.0311203696717284,0.0,0.0,0.0
TNFRSF18,1.16619611721452,0.671054134899177,1.30036950887427,0.557413198405277,1.05337506666042,1.12658782057636,0.625865310341622,1.52847299247268,1.83684233480981,1.22903575976753,0.878105070769038,0.669915805076301,1.32185097320371,0.608745463660613,0.868214537277831,0.955410084683449,1.10449852464597,0.768551616944715,1.73873222784126,1.11285811617847,1.32495543065042,1.08860040018183,1.27491638911694,1.0226324650363,0.932606135146868
TNFRSF4,0.49584765800188,0.0886247196171332,0.381452244671895,0.164952764571669,0.268066719222889,0.205967584024258,0.482291185651347,0.281197214883417,0.729752132114098,0.429421795395063,0.157713496455988,0.258145217538646,0.223623262122708,0.0545024443026659,0.186128744455227,0.270355822043089,0.375756678631105,0.07254591037097,0.563246401056826,0.714082645664979,0.248742386727628,0.36085350477332,0.100232009807046,0.232557804802768,0.111221155258742
SDF4,0.846664955317717,0.478814906776896,0.36144210051072,0.400701920755394,0.363222856163745,0.436430697608882,0.546475734371664,0.39719680427279,0.165887130539823,0.457196918819568,0.69320491153206,0.357215081676088,0.282477267470235,0.363814569048315,0.507615294450751,0.531044644092606,0.576392898718551,0.512364270865277,0.369529928674894,0.412972631242146,0.60052514886203,0.502940962265317,0.14443353781346,0.618124995839775,0.296307809393698
B3GALT6,0.0354346598939932,0.0,0.0339939222047567,0.0,0.0,0.0736376703186663,0.0,0.0322301474895343,0.0,0.106093782815559,0.0550301765607719,0.0506776377808367,0.0833674500696687,0.0551235971690664,0.0642868952395637,0.0951122414134212,0.0525486276836637,0.0,0.0,0.0,0.0223595042091404,0.0695468687888207,0.241473590701159,0.0316310287224724,0.0750260358819533
UBE2J2,0.232155944603237,0.235427402620742,0.367880555242083,0.244612190426751,0.203940990214852,0.222769000513252,0.556426205689673,0.249518617482791,0.215672955781386,0.262306632689109,0.276396976868452,0.225003736657757,0.195660095647695,0.0722920720634964,0.256857027307682,0.192432706464009,0.30257074854346,0.323791797676053,0.751367995381522,0.454001608356725,0.338979351572281,0.217425736722619,0.331904296733935,0.189135563879032,0.368209362073881
ACAP3,0.0732909234095499,0.0453261412890558,0.0,0.0164702598055053,0.0,0.100273169647034,0.0510587202372889,0.0510168954651044,0.0,0.0825990881996214,0.26602215149125,0.0,0.0220359526610308,0.0839377485538303,0.0,0.0575193607076249,0.0805890621710175,0.0,0.0,0.0,0.0538695864719587,0.0439350016815973,0.138413810074908,0.0535209582860495,0.117462556381943
PUSL1,0.0387988747140217,0.046363796989764,0.0303018547930371,0.0046356218036992,0.0701883291392066,0.0489671335630899,0.0,0.0542806791795588,0.203779767793607,0.0425537319770466,0.0246403462428703,0.0,0.0,0.0543974449108312,0.0,0.0718194241360511,0.0201348640508495,0.0,0.0,0.123508379630539,0.0854637976219418,0.0683777424984179,0.0,0.0530563377903421,0.088241739813083
CPTP,0.0,0.0420505047071697,0.0811252757360951,0.0364062573608827,0.051289556313329,0.0473552810505169,0.0986093919551822,0.0808691427099037,0.0,0.0601579529246615,0.0,0.0343086648346005,0.0267677939043126,0.0,0.025384619314867,0.102557573769017,0.0506232230386327,0.0,0.168567431041774,0.0,0.0735320295988071,0.1381350322926,0.119125193770568,0.0843965075673732,0.0409157836952854
AURKAIP1,0.621418406197842,0.694388141530852,0.515217740731474,0.475581678212322,0.392592846829358,0.767358745286088,0.316757755410045,0.650541445591592,0.383013103263937,0.583832245049899,0.63611789599354,0.202690259940231,0.437783302720792,0.369279903839555,0.475882398019211,0.608803788151939,0.503906204250223,0.540023316496142,0.601781412319944,0.692842060812261,0.721611605337872,0.630799515589713,0.862654157077882,0.509157677018047,0.523971900272621
CCNL2,0.142276996279702,0.183202716566746,0.104267773738563,0.134283015528747,0.110217731490125,0.0967348521725205,0.0980438319380011,0.100951872119522,0.0,0.127020035214013,0.186487758079593,0.0844127035518829,0.2626531134199,0.0998085697468588,0.136631855134675,0.0970745125385688,0.130395384086852,0.0808988524052145,0.38581742298836,0.0904917332615884,0.0659903796678087,0.104067054883304,0.0982140387460276,0.11585833223413,0.140964726289628
MRPL20,0.494610322744206,0.615722375052061,0.546691230476287,0.527302371158929,0.67321754936764,0.430735444565919,0.431356583584419,0.526091904916895,0.601831541558623,0.502272944697969,0.428611005149505,0.320965756350916,0.342278448698008,0.4461706224628,0.251775045237659,0.450366156619712,0.386505245725205,0.705745883885892,0.755347351663253,0.764402652307142,0.553989064055077,0.581856891439473,0.595010161066403,0.544526227174349,0.527442204531962
