,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
NOC2L,0.0,0.725017786507041,0.0,0.107909885235426,0.168556093196869,0.0,0.540461378568613,0.0,0.433806769315612,0.0,0.0,0.0,0.0,0.0,0.189437006450422,0.0,0.0,0.246264564933621,0.237963930317216,0.22389433806529,0.184026684133538,0.481390715899287,0.191569478941933,0.226419335943474,0.163682212976348
ISG15,0.0,0.0,0.0,0.174268913648681,0.609073708926277,0.0,0.0,0.600910343893293,0.0,1.56849601191193,0.925912581779945,0.0,0.132936266526233,0.704327370577403,0.605525622582729,0.411612791576305,0.234077368135479,0.237801491686044,0.499367057648325,0.257293989309695,0.321820551871413,0.0,0.522288240648489,0.599003917332676,0.559677890629666
SDF4,0.0,0.210341528714882,0.148023085425192,0.101975387588503,0.106252589740212,0.426668373446937,0.0,0.0,0.0,0.0,0.0,0.0,0.118162690640371,0.301437212546677,0.0,0.174801840712141,0.26969780642893,0.167025927784524,0.0590400387959677,0.168736931788236,0.164591171279059,0.376750597214346,0.185263935640886,0.566779719636,0.0
UBE2J2,0.0,0.303237371816586,0.149057948926494,0.100482698135308,0.141996008679331,0.0,0.0,0.0,0.0,0.0,0.226772292869952,0.0,0.4789734147661,0.0,0.0,0.109338447708532,0.0,0.158612394016875,0.151156719524481,0.162608162205452,0.212325814454371,0.376750597214346,0.151771014041452,0.206098479695432,0.131206876330917
AURKAIP1,0.901229806744006,0.0922145681704729,0.132672767678844,0.18901623226023,0.338027708002703,0.0,0.0,0.934595135181113,1.1603540049084,0.356283623086665,0.428187589301171,0.580887647779101,0.25210992746096,0.0,0.0,0.555907142608326,0.601966070113384,0.331182414068766,0.409541986663529,0.389612282626111,0.439132854361572,0.0,0.355147174628502,0.692441513173672,0.586747845307506
CCNL2,0.0,0.369016564064978,0.0,0.121274131555197,0.0699239471162474,0.0,0.0,0.604523059064781,0.0,0.0,0.20711297349549,0.0,0.21127417712662,0.0,0.0959420118466452,0.109338447708532,0.237083626065558,0.0702326874839097,0.0743945550903803,0.144182466179931,0.0935151578714098,0.0,0.117197613212296,0.0,0.0
MRPL20,0.0,0.0941006343264445,0.545066273698979,0.266333006004112,0.302035160300919,0.0,0.0,0.0,0.344467201375085,0.0,0.0,0.0,0.262974866822096,0.0,0.11144141761879,0.174801840712141,0.652519549738408,0.187640526234874,0.547469832762521,0.393694217284406,0.416409978460799,0.481390715899287,0.259067782510854,0.309994582331766,0.148400536726525
SSU72,1.36743249345227,0.768939128772545,0.800710560958212,0.587494345250437,0.444443634837519,0.478445475852405,0.0,0.0,1.15162882983511,0.0,0.996012331889435,0.0,0.322934755706902,0.301437212546677,0.655735027540997,0.569824587021465,0.503775174564409,0.727108478886136,0.514048637882362,0.471465399466796,0.523057648586529,0.0,0.514817498585247,0.92474301487509,0.538113173098433
MIB2,0.0,0.0922145681704729,0.0,0.0417121578843911,0.0721312800144506,0.0,0.540461378568613,0.0,0.0,0.0,0.217750133385243,0.0,0.0,0.291223935012838,0.204399548825328,0.238937234088767,0.0,0.042141927887681,0.22370222614929,0.0431020671080634,0.0981749065912837,0.0,0.0774855575738853,0.37099337263934,0.1252144671909
CDK11B,0.901229806744006,0.275702287668452,0.15497262511843,0.146268053767695,0.110236520830844,0.0,0.0,0.0,0.344467201375085,0.0,0.0,0.0,0.0,0.355178915730104,0.0,0.0,0.150730868786429,0.101009378349225,0.12376112509295,0.128591586589362,0.199319597427194,0.481390715899287,0.0685161237266559,0.0,0.0
