,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
AP006222.2,0.0520181148236089,0.0176905935806199,0.0,0.0290456975225737,0.0074882039261695,0.0,0.144424795602197,0.0190026554723178,0.0204247697180121,0.0450002010043348,0.0155113472188899,0.0301218565599993,0.0143101885936315,0.0532911079311908,0.0,0.0,0.0562581859791423,0.0597230309051697,0.0114307417529678,0.0242760859677647,0.0087558750862988,0.0148586888439581,0.0245666978713297,0.0717247903868232,0.0
FAM41C,0.0122403086981348,0.0148871554411311,0.0,0.0,0.0415618806567783,0.0,0.0,0.0,0.0148759191226127,0.0070165134887962,0.0245820341144963,0.0769336134107652,0.0143101885936315,0.0,0.106742490137414,0.133890116350427,0.0136744073694078,0.0169439266315057,0.0,0.0,0.0258180906761599,0.0184646800824593,0.0430339475096039,0.0092347001823342,0.0
NOC2L,0.181499142381886,0.106693723301904,0.049162072447815,0.301282299866692,0.0764135656171957,0.0,0.147403354521112,0.18506304569061,0.120872883088762,0.182177770800758,0.111530135420527,0.14945838115213,0.109786875151363,0.104357079179756,0.0,0.0285624523583763,0.163899369804768,0.0615421206877745,0.0870463212687443,0.180393853309014,0.129592947812666,0.129493614416794,0.132320121591534,0.134723315522789,0.554424723518352
PLEKHN1,0.0293176846122106,0.012872716767661,0.0272781652380861,0.0,0.0552727993050915,0.112360972986191,0.0,0.0275456059214723,0.0196745210444644,0.0482314436190545,0.0261921449237597,0.0275827814212993,0.0,0.0,0.301721945468178,0.0,0.0572353605802707,0.0360836075154881,0.0233029828232972,0.0188925225828227,0.031202028504227,0.0269416847763587,0.0311672624960924,0.0485561224437287,0.0
HES4,0.0734601765018276,0.0343162464368558,0.0,0.0,0.0362650407968049,0.0,0.0,0.072262587593023,0.0483558631715347,0.238706160394986,0.0434973461412567,0.0667961532236409,0.0420394681628153,0.0,0.0,0.0,0.0,0.0146922662765769,0.0126716499041929,0.0,0.0212542226423287,0.0376971845528672,0.0,0.0278080837641167,0.0
ISG15,0.465616832121639,0.875625642731961,0.571250252383377,0.766143527319391,1.19086427717765,1.22356154674705,0.745476987561098,1.68263695945662,0.269353442377523,2.78825510833838,1.0224528324111,1.34707682399096,0.903690895383489,1.74475754664844,1.16918741960713,0.332260693984228,0.30072068227732,0.484035379285215,0.605437669592627,0.368696022605846,0.60248418971388,0.662296583377211,0.861811608089867,0.413553637655965,0.926241687389254
C1orf159,0.010460479273904,0.0034927590113261,0.0,0.0,0.0062732269035623,0.0,0.0,0.0095089523893337,0.0100363042903705,0.0269361340681686,0.0440536951757875,0.0,0.0855481544488333,0.0,0.0,0.0,0.0411950558393582,0.0,0.0055320003301468,0.0,0.0164145421647827,0.0069248741309238,0.0,0.0304896288249845,0.498202203276003
TNFRSF18,0.369424157735252,0.225139296750296,0.286782573699703,0.0,0.125848328189112,0.0,0.0,0.654486239307685,0.132838631449239,0.347014903325269,0.211750482417506,0.196601547410874,0.113387631937632,0.258133834274818,0.106493933065281,0.0,0.0773726563118992,0.0623729857426947,0.377616441007599,0.0860599687696948,0.116206874186375,0.200056635315696,0.0296055058908119,0.0713082417949421,0.0
TNFRSF4,0.419787291090396,0.142412045971208,0.0711935877156483,0.0,0.173709306216364,0.112360972986191,0.0,0.592251356547022,0.214114321753607,0.460513963551916,0.277948038300823,0.114346248011886,0.119671634939853,0.124902874691401,0.0693922936951812,0.0,0.372013262934376,0.0978304392196084,0.438252840171055,0.0788340243762834,0.0970055849653377,0.45086721741229,0.121826350838528,0.042726154346197,0.0
SDF4,0.409759401747922,0.312019313605957,0.205800884394036,0.774470871645761,0.426544260679155,0.441347288627832,0.956072601182117,0.322864342441192,0.341226610232551,0.279488561181385,0.250444136791968,0.367426254165809,0.239523119181698,0.717835734111792,0.395292911509076,0.301620844924177,0.47326082976032,0.459711374640727,0.334621052548774,0.500172370533314,0.465107406476135,0.324977188154154,0.469733897296792,0.596279393045895,0.258490243042749
