,Cycling.space.T.space.cells,Cytotoxic.space.T.space.cells,DC,Mast.space.cells,Germinal.space.center.space.B.space.cells,Helper.space.T.space.cells,Macrophages,Memory.space.B.space.cells,Monocytes,Naive.space.B.space.cells,NK.space.cells,Plasma.space.cells,Regulatory.space.T.space.cells,Regulatory.space.T.space.cells to Cytotoxic.space.T.space.cells ratio
HNSCC2_P01,0.013112038315131842,0.21751311048216276,0.039741223508436216,,,0.21065095792207034,0.13498379513901376,0.05236586955365723,0.06751278504636142,0.020827408113047154,0.02801675732999328,0.03905048973046927,0.144068432410821,1.0127304812228295
HNSCC2_P02,0.017725718942647743,0.2518623503641028,0.038867234969753944,,,0.1453392876107869,0.1391487444832658,0.12083074940647404,0.06764557146731266,0.1395462345019131,0.05497834891805882,0.007228726879992556,0.1580293641277665,0.621257802781882
HNSCC2_P04,0.003964776188729648,0.29539892655247846,0.04061738798842502,,,0.2466521852970343,0.1391487444832658,0.10013582259078554,0.06709922178897576,0.03330964081908479,-0.0104017743509758,0.02443612529601477,0.11939005192924312,1.0959678360956422
HNSCC2_P05,0.011243803630645663,0.2686159041426039,0.039454421114237304,,,0.20921953763431395,0.13755072508105037,0.04850910676867964,0.06704451645377092,0.01422450665219896,0.0023444417860845716,0.036230665971631826,0.1428782652397555,0.9924732370533582
HNSCC2_P08,0.017216054396206333,0.2843608587879045,0.05795603180515624,,,0.1623667357877717,0.1391487444832658,0.048286192195070264,0.06735562254588989,0.050557203928494304,0.037770100404758804,0.021674572884257854,0.16763599433440987,0.8267071339441145
HNSCC2_P09,0.014632991507122536,0.21622665239756667,0.040032475435232036,,,0.1831295436357899,0.13779593220469116,0.059513683648021565,0.067483096477227,0.05142186194711575,0.0355739168541479,0.041914061024146944,0.15304246155696255,0.8718954177530007
HNSCC2_P10,0.018436304692807975,0.26090421841977807,0.06003343187799903,,,0.17980745684368307,0.13677186418837822,0.05253738752707987,0.06739063830461892,0.0552129341070976,0.038377686524592475,0.04209944450492481,0.17758624396394204,1.0380050406006613
HNSCC2_P12,0.010080750746026578,0.24435840130648737,0.04295498186820397,,,0.22717702008656726,0.1391487444832658,0.04798632961918548,0.06740420806928502,-0.024502532761575324,0.022064142825380037,0.047419206658097124,0.15780917426239918,1.2466048221760353
HNSCC2_P13,-0.000802729494107618,0.16736460056136854,0.04059727260842092,,,0.28157858449525486,0.13799623834312202,0.08463668680568084,0.0672948099834872,0.01575967509045447,-0.014112126465362682,0.0474671126028505,0.09836898948820627,1.1995149336797628
HNSCC2_P14,0.01670638984976492,0.2567094972445346,0.06049301041860232,,,0.16625146108784322,0.1391487444832658,0.038147912340675924,0.06750121175928145,0.030577691540656593,0.04443975573827303,0.04661799286455315,0.16631499033025737,0.8461626318160387
