gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,0.33077312746480675,0.0801065789719036,0.801065789719036,0.45648009843302517,1.0713298705307227e-17,3.5710995684357424e-17,-0.2227045257078381,0.9999999999999178,0.9999999999999999,0.49971084348167927,1.3818686095701438e-16,2.7637372191402876e-16,-0.6732848203684055,7.702092717966745e-11,3.8510463589833724e-10,0.23948241467572076,0.6355378325003322,1.0,0.4734354445935691,1.2790528860117708e-17,4.263509620039236e-17,0.7240080731806152,0.5002815035465281,0.7146878622093259,-0.2001865827922272,0.9999999999999789,1.0,0.5015691508607745,1.2418628179466936e-17,3.1046570448667335e-17,-0.6052081205222043,3.7503598421582826e-10,1.8751799210791413e-09,-0.0015999419729047263,0.9999962945454026,1.0,0.49046801866140094,3.941739306838874e-16,6.569565511398124e-16,-0.004836976888562252,0.0011413189700287016,0.002282637940057403,0.15607091584969118,0.992325099123359,1.0,0.4625739501838503,6.36653976921049e-17,1.0610899615350817e-16,0.47183674516091595,0.06603968235696017,0.08254960294620022,None,0.33077312746480675,0.0801065789719036,0.200266447429759,0.45648009843302517,1.0713298705307227e-17,2.6783246763268067e-17
LINC00115,0.14082529486179135,0.9531334759187289,1.0,193831.6161538228,0.003622892795569489,0.003622892795569489,-0.10620925464616789,0.9999999999767002,0.9999999999999999,194994.59895359844,0.008591717082368213,0.008591717082368213,-0.7541916013767533,8.890308741263636e-05,0.00029634362470878787,-0.11131891000742766,0.9999999999972323,1.0,179164.8694722291,0.011417887061334684,0.011417887061334684,-0.7904752489009746,1.8156426393501113e-06,1.815642639350111e-05,0.25532069557069464,0.5334913224937532,1.0,201398.17334071064,0.0031996093988519722,0.0031996093988519722,1.8130314999252888,0.8214515971345442,0.8214515971345442,0.037832880444924735,0.9998542683943851,1.0,183742.23610132263,0.004095763841791821,0.004095763841791821,0.2686511715246515,0.37082744386078126,0.4120304931786458,-0.19249779801666816,0.9999999999997531,1.0,202589.24374911666,0.003698132905909972,0.003698132905909972,-1.3669262912290665,5.720788713387845e-08,2.8603943566939225e-07,None,0.14082529486179135,0.9531334759187289,1.0,193831.6161538228,0.003622892795569489,0.003622892795569489
FAM41C,-0.40441471538659374,0.9999999701976776,1.0,0.4015764937499967,3.891337737234509e-17,7.075942037114933e-17,0.21940251009299097,0.8785176636812315,0.9999999999999999,0.493568428919699,1.7858054393594241e-16,2.976342398932374e-16,21.940251009299097,0.0004007664636260267,0.0010019161590650667,-0.2526368148586686,0.9999999999991688,1.0,0.411390497700349,3.891337737234509e-17,7.782675474469018e-17,-25.26368148586686,0.16723761394253855,0.2787293565708976,0.16669390451089205,0.9908793859369613,1.0,0.3970491392067674,4.006048370903621e-17,6.676747284839369e-17,16.669390451089207,6.458438595293255e-05,0.0001291687719058651,0.3258063476109494,0.21314999122703338,0.710499970756778,0.45541793443817136,1.8208398289580916e-17,6.069466096526972e-17,32.58063476109494,6.297427625378445e-06,2.099142541792815e-05,0.2815368187094662,0.7668897815273306,1.0,0.4284325586523081,2.5132287672016863e-17,7.270891453089202e-17,28.153681870946617,5.405806914900044e-05,0.00018019356383000147,HPV,0.3258063476109494,0.21314999122703338,0.355249985378389,0.45541793443817136,1.8208398289580916e-17,3.641679657916183e-17
NOC2L,-0.20878822048959608,0.9999999999999972,1.0,0.39124909351924453,1.9482799225479546e-18,1.0665806826795586e-17,-0.30898863240461155,0.9999999999999999,0.9999999999999999,0.45761560850988525,2.00807784273135e-18,1.3990619753670087e-17,-30.898863240461154,0.07641256395532975,0.12735427325888293,-0.3911993513095213,1.0,1.0,0.4188401366631851,1.9482799225479546e-18,9.741399612739772e-18,-39.11993513095213,0.010515245935858921,0.035050819786196404,-0.26732992882862133,0.999999999999918,1.0,0.41548614552195173,1.9482799225479546e-18,1.0992783885454733e-17,-26.73299288286213,0.07641256395532975,0.08490284883925528,-0.28298292873130065,1.0,1.0,0.3989290692869675,1.9482799225479546e-18,9.741399612739772e-18,-28.298292873130066,0.3569394374382988,0.4120304931786458,-0.4343942480638852,1.0,1.0,0.44311116984098353,2.00807784273135e-18,1.317301120386598e-17,-43.43942480638852,0.0014242560648809004,0.002373760108134834,None,-0.20878822048959608,0.9999999999999972,1.0,0.39124909351924453,1.9482799225479546e-18,9.741399612739772e-18
PLEKHN1,0.009999999999999998,1.0,1.0,25376.626580124375,7.669069898731422e-15,9.586337373414277e-15,-0.08328129132591722,0.999999999972693,0.9999999999999999,26415.758256264475,3.058247904355365e-08,3.398053227061517e-08,-8.328129132591721,2.5462875172066674e-11,2.546287517206667e-10,-0.42219657437999264,0.999999999999884,1.0,35247.19794018483,2.4005522924068687e-13,3.0006903655085857e-13,-42.21965743799926,0.06118445637828064,0.12236891275656128,-0.19109728219971922,0.9999999999997631,1.0,24937.946397625343,2.2843748279438193e-14,2.8554685349297736e-14,-19.10972821997192,1.1130197171466822e-09,3.710065723822274e-09,-0.14296787211869247,0.9999999999375436,1.0,24525.280494214385,7.398774967844516e-14,9.248468709805644e-14,-14.296787211869246,6.098762679336485e-09,6.098762679336484e-08,-0.40430276852246644,0.9999999999999998,1.0,30192.005171055585,1.5687431428393684e-09,1.9609289285492106e-09,-40.43027685224664,0.00020967705782608788,0.0005241926445652197,None,0.009999999999999998,1.0,1.0,25376.626580124375,7.669069898731422e-15,9.586337373414277e-15
HES4,-0.240543937150257,0.9999999956838224,1.0,0.6017437935979513,5.096834473959788e-11,5.663149415510876e-11,-0.26380367833495777,0.9999999999999976,0.9999999999999999,0.6526736315665537,1.0300229753599876e-09,1.2875287191999845e-09,-26.380367833495775,0.9271100805954251,1.0,-0.28150978877672767,0.9999999999995648,1.0,0.6297938643330987,1.1940585658866582e-09,1.3267317398740648e-09,-28.150978877672767,0.8180202946791215,0.9089114385323572,0.45422304803845825,1.588640867655318e-05,7.94320433827659e-05,0.5376076963136509,2.0620149599162816e-13,2.2911277332403126e-13,45.422304803845826,8.115891158754735e-09,2.0289727896886836e-08,-0.28179090472727447,0.9999999999995831,1.0,0.6155619250019718,4.47490562455931e-10,4.972117360621456e-10,-28.179090472727445,0.9280621896836334,0.9280621896836334,0.07208002980941768,0.9999958942020781,1.0,0.6207788376768975,2.0147985811372265e-09,2.2386650901524737e-09,7.208002980941767,0.0029456735994761074,0.004208105142108725,Age,0.45422304803845825,1.588640867655318e-05,7.94320433827659e-05,0.5376076963136509,2.0620149599162816e-13,2.2911277332403126e-13
ISG15,0.06358798003199251,0.9999672263217301,1.0,0.4267718687765806,3.779867676618672e-17,7.075942037114933e-17,0.33458175983755517,0.0945173479741313,0.945173479741313,0.39718678782497313,3.891337737234509e-17,1.2971125790781697e-16,5.261713922493209,0.0011431765973566508,0.0022863531947133016,0.009682089994681444,0.9999989917563955,1.0,0.4409129680398802,3.779867676618672e-17,7.782675474469018e-17,0.1522628960663662,1.0,1.0,-0.20799697645773116,0.9999999999999042,1.0,0.4502495397818685,3.779867676618672e-17,6.676747284839369e-17,-3.2710109104438185,0.002979466656332983,0.004256380937618547,0.36615945469529243,0.011835802733432935,0.11835802733432935,0.3898086548785182,3.779867676618672e-17,9.449669191546679e-17,5.758312412362676,0.00040695201744495946,0.0010173800436123987,0.024580517647036143,0.9999990897593598,1.0,0.4600869025407272,4.1240923895753404e-17,8.248184779150681e-17,0.3865591835857837,0.887537083981715,0.887537083981715,HPV,0.36615945469529243,0.011835802733432935,0.039452675778109784,0.3898086548785182,3.779867676618672e-17,5.399810966598103e-17
C1orf159,-0.21668764412036393,0.9999999992610301,1.0,0.45741761110522033,9.113790401268425e-16,1.3019700573240609e-15,-0.10936612576843362,0.999999999993869,0.9999999999999999,0.524701062944965,2.7413445882291588e-15,3.916206554613084e-15,-10.93661257684336,1.0,1.0,-0.3727976963527759,0.9999999999999988,1.0,0.48848586549678363,1.0183328328166833e-15,1.454761189738119e-15,-37.27976963527759,0.023547991255566413,0.05886997813891603,0.6079217419621052,1.368809846510622e-11,1.368809846510622e-10,0.35315389202597575,4.388940359489962e-18,1.4629801198299876e-17,60.792174196210524,3.747725578357786e-16,3.7477255783577855e-15,-0.19575804159128926,0.999999999999054,1.0,0.48542008667287617,1.2023309375876154e-15,1.717615625125165e-15,-19.575804159128925,0.3049505232624631,0.4120304931786458,0.28260062820035176,0.20560685482205499,1.0,0.47125697705014147,2.457544410765537e-15,3.5107777296650534e-15,28.260062820035174,2.9184718268462253e-09,2.918471826846225e-08,Age,0.6079217419621052,1.368809846510622e-11,1.368809846510622e-10,0.35315389202597575,4.388940359489962e-18,1.4629801198299876e-17
TNFRSF18,-0.09145028903497868,0.9999999999954395,1.0,0.4248315321785994,2.1331613653591172e-18,1.0665806826795586e-17,0.0089527396827715,0.9999998939640208,0.9999999999999999,0.4450036638266607,2.7981239507340175e-18,1.3990619753670087e-17,0.89527396827715,0.3145972003369346,0.39324650042116827,0.24602593770542916,0.7375629291367153,1.0,0.3713606391067972,1.9482799225479546e-18,9.741399612739772e-18,24.602593770542917,0.002310077338163252,0.01155038669081626,-0.3399736223743423,1.0,1.0,0.452896757322929,2.1985567770909467e-18,1.0992783885454733e-17,-33.99736223743423,0.006342145346851456,0.007927681683564319,0.3132579665052925,0.16697974078650724,0.710499970756778,0.3822839053522902,1.9482799225479546e-18,9.741399612739772e-18,31.325796650529245,2.1288466420926026e-06,1.0644233210463012e-05,0.042261711660511486,0.9999994283800905,1.0,0.46682244723596616,2.634602240773196e-18,1.317301120386598e-17,4.226171166051149,0.47257123303438886,0.5250791478159876,HPV,0.3132579665052925,0.16697974078650724,0.33395948157301447,0.3822839053522902,1.9482799225479546e-18,9.741399612739772e-18
TNFRSF4,-0.21518866839842724,0.9999999999840331,1.0,0.4582829104375812,4.24556522226896e-17,7.075942037114933e-17,-0.26726612822736645,0.9999999999999994,0.9999999999999999,0.5035596088435235,5.838208770838454e-17,1.4595521927096133e-16,-26.726612822736644,0.25687350362854694,0.36696214804078137,-0.30517665275889755,0.9999999999999993,1.0,0.4927987748191884,5.671895386378406e-17,9.453158977297343e-17,-30.517665275889755,0.6419144091033497,0.8023930113791872,0.0641612242730993,0.9999929598191375,1.0,0.4747814234098254,4.7677489925531396e-17,6.811069989361629e-17,6.416122427309929,0.001394820022095026,0.0023247000368250437,-0.3118933634665225,0.9999999999999999,1.0,0.48856993045671365,5.838208770838454e-17,1.1676417541676908e-16,-31.18933634665225,0.28247293250201444,0.4120304931786458,0.10750083142542703,0.9997788416529813,1.0,0.44930610105118357,2.908356581235681e-17,7.270891453089202e-17,10.750083142542703,0.0013284063546562255,0.002373760108134834,Tobacco,0.10750083142542703,0.9997788416529813,1.0,0.44930610105118357,2.908356581235681e-17,4.847260968726135e-17
