gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,0.022930535980129948,0.9999785296654449,0.9999999999999917,0.3641907977490147,1.9482799225479546e-18,4.813701823147399e-18,0.2775951188747099,0.46574985424201787,1.0,0.4235408062955288,1.1706542998642291e-17,1.6723632855203274e-17,12.105914973607902,0.006919784259727021,0.01729946064931755,0.03140983754352488,0.9999818166676575,1.0,0.4041402545133063,2.1331613653591172e-18,4.1342014235542984e-18,1.3697820919119605,0.47726686709630795,0.7459702672676363,-0.14121281684319423,0.9999999998812339,1.0,0.37523313579939116,1.9482799225479546e-18,5.1039393854061254e-18,-6.158286791270807,0.05443507389087105,0.3148952560722775,0.30405098561153826,0.21352406847421024,1.0,0.4135028649882031,2.556415870468249e-18,5.112831740936498e-18,13.25965454427268,0.006919784259727021,0.023065947532423404,-0.21134850327836494,0.9999999999990504,0.9999999999999983,0.4062363215832399,1.9482799225479546e-18,6.311606041551026e-18,-9.21690201491606,0.0028361326556546836,0.007090331639136709,HPV,0.30405098561153826,0.21352406847421024,0.7117468949140342,0.4135028649882031,2.556415870468249e-18,4.9527602858578004e-18
LINC00115,-0.24316208990856114,0.9999999999943974,0.9999999999999917,0.4265038835260136,3.891337737234509e-17,4.864172171543136e-17,-0.24447556715887564,0.9999999999999992,1.0,0.4575827888843728,4.24556522226896e-17,4.717294691409955e-17,-24.447556715887565,0.7028899223168847,0.7809888025743164,-0.1112881477390139,0.9999999999984661,1.0,0.4890073778663259,5.671895386378406e-17,7.089869232973006e-17,-11.12881477390139,0.5233803251339425,0.7459702672676363,-0.26407987433906355,1.0,1.0,0.44845302801613107,3.891337737234509e-17,4.864172171543136e-17,-26.407987433906353,0.5215389104529158,0.9277629481883731,-0.07585118240569684,0.999999999993796,1.0,0.438116303891264,3.891337737234509e-17,4.864172171543136e-17,-7.585118240569684,0.04077174301768008,0.08154348603536016,0.01834895226054456,0.9999999967692278,0.9999999999999983,0.43272381422018924,3.779867676618672e-17,5.399810966598103e-17,1.834895226054456,0.001556457554306884,0.005188191847689614,Tobacco,0.01834895226054456,0.9999999967692278,0.9999999967692278,0.43272381422018924,3.779867676618672e-17,5.399810966598103e-17
FAM41C,-0.4257549599587656,0.9999999999914293,0.9999999999999917,0.38297833563155115,2.265930530554773e-18,4.813701823147399e-18,-0.21236815640018253,0.999999999999997,1.0,0.4220153548385166,1.1365762654164322e-17,1.6723632855203274e-17,-21.236815640018254,0.005501725154324201,0.01729946064931755,-0.358352645022391,0.9999999999999936,1.0,0.39594751388166693,2.335341653948903e-18,4.1342014235542984e-18,-35.8352645022391,0.6635974333239625,0.7459702672676363,-0.5168324388088607,0.9999999999999991,1.0,0.39654256212623745,2.335341653948903e-18,5.1039393854061254e-18,-51.68324388088607,0.0629790512144555,0.3148952560722775,0.20213281244754286,0.9310773290714762,1.0,0.3886543623132144,2.4805208541325787e-18,5.112831740936498e-18,20.213281244754285,1.0386132520011206e-13,1.0386132520011206e-12,0.15074050299368214,0.9932655665641896,0.9999999999999983,0.4237623967324777,3.155803020775513e-18,6.311606041551026e-18,15.074050299368214,2.86106269161375e-13,2.8610626916137496e-12,HPV,0.20213281244754286,0.9310773290714762,0.9999999967692278,0.3886543623132144,2.4805208541325787e-18,4.9527602858578004e-18
NOC2L,0.3048866116465636,0.16187053611941976,0.9999999999999917,0.3815399262970709,2.0696869543572095e-18,4.813701823147399e-18,0.33032578051345807,0.07244098319506699,0.7244098319506699,0.38742239820721097,2.00807784273135e-18,7.78699366986276e-18,1.0834381304233343,0.887537083981715,0.887537083981715,0.4785310096048162,6.407680293301901e-06,6.407680293301901e-05,0.3472844280724127,2.00807784273135e-18,4.1342014235542984e-18,1.5695376291548935,0.002979466656332983,0.010483143097456104,0.35169958948863916,0.05686709595108699,0.5686709595108699,0.40308095144215683,2.1985567770909467e-18,5.1039393854061254e-18,1.1535422549034162,0.6713732405408727,0.9591046293441039,0.2927459891407147,0.31880233499681865,1.0,0.3563224227847195,2.0696869543572095e-18,5.112831740936498e-18,0.960179876576795,0.887537083981715,1.0,0.24492111110726364,0.8078214298628585,0.9999999999999983,0.403759346250912,2.1985567770909467e-18,6.311606041551026e-18,0.8033186822620657,0.11979493042591895,0.19965821737653158,Sex,0.4785310096048162,6.407680293301901e-06,6.407680293301901e-05,0.3472844280724127,2.00807784273135e-18,4.9527602858578004e-18
KLHL17,0.1166009333437972,0.9994046139433755,0.9999999999999917,0.3988349315443387,2.97165617151468e-18,4.9527602858578004e-18,-0.1522470462727726,0.9999999999954395,1.0,0.43258794322208965,3.89349683493138e-18,7.78699366986276e-18,-1.30571035674194,0.0269561555698537,0.0539123111397074,0.16336757490136,0.9989675623943151,1.0,0.3843200194991496,2.4805208541325787e-18,4.1342014235542984e-18,1.401082909170818,1.0,1.0,0.10418405927419627,0.9998829283463511,1.0,0.4170366109259719,3.062363631243675e-18,5.1039393854061254e-18,0.893509651136412,1.0,1.0,0.1686891254965384,0.97648194358763,1.0,0.4044040571408558,2.4805208541325787e-18,5.112831740936498e-18,1.4467219143020016,0.34202800541662637,0.4886114363094663,-0.03431677609075258,0.9999997456742754,0.9999999999999983,0.4323704208644014,4.659498617796703e-18,7.765831029661173e-18,-0.2943096174845338,0.6613922956698706,0.6613922956698706,None,0.1166009333437972,0.9994046139433755,0.9999999967692278,0.3988349315443387,2.97165617151468e-18,4.9527602858578004e-18
PLEKHN1,-0.3482750995866854,0.9999999999997314,0.9999999999999917,0.3866159993541904,3.558538768609991e-18,5.083626812299988e-18,-0.42287394425617447,1.0,1.0,0.4506493763829761,3.89349683493138e-18,7.78699366986276e-18,-42.28739442561745,0.32039423030628966,0.5339903838438161,-0.42350119766124983,0.9999999999999999,1.0,0.4065642997073329,4.259536271429278e-18,6.08505181632754e-18,-42.35011976612498,0.5316582409218891,0.7459702672676363,-0.46408699250719715,1.0,1.0,0.4001671417454095,7.732969409202804e-18,1.1047099156004006e-17,-46.408699250719714,0.10347149408397077,0.3449049802799026,-0.4441551666981165,1.0,1.0,0.4051508150402556,1.875084060950561e-17,2.6786915156436588e-17,-44.41551666981165,0.21307691048696129,0.35512818414493547,0.008555663661423227,0.9999999932696967,0.9999999999999983,0.4547208722718081,1.593632427769725e-16,1.992040534712156e-16,0.8555663661423226,2.3508600026030685e-07,1.175430001301534e-06,Tobacco,0.008555663661423227,0.9999999932696967,0.9999999967692278,0.4547208722718081,1.593632427769725e-16,1.992040534712156e-16
HES4,-0.2352947802672463,0.9999999999999917,0.9999999999999917,0.49375432284805126,4.177549321864925e-14,4.177549321864925e-14,0.11464028800011647,0.9997456627539183,1.0,0.4818759340466482,2.085241014965403e-15,2.085241014965403e-15,11.464028800011647,1.8904779736876058e-07,1.8904779736876057e-06,-0.3778230018366634,1.0,1.0,0.5268962312264545,2.587018389420334e-12,2.587018389420334e-12,-37.78230018366634,0.003144942929236831,0.010483143097456104,-0.16617721978026043,0.9999999999999744,1.0,0.5143314552526304,3.5947006919659844e-13,3.5947006919659844e-13,-16.617721978026044,0.5566577689130239,0.9277629481883731,-0.08916986119795178,0.9999999999961025,1.0,0.5300743331312308,1.0082307885177826e-13,1.0082307885177826e-13,-8.916986119795178,0.022752152281597323,0.0568803807039933,-0.07226330903155043,0.9999999999698782,0.9999999999999983,0.5551892911861374,8.158343069362903e-12,8.158343069362903e-12,-7.226330903155042,0.047217014059959206,0.09443402811991841,Alcohol,0.11464028800011647,0.9997456627539183,0.9999999967692278,0.4818759340466482,2.085241014965403e-15,2.085241014965403e-15
ISG15,0.3238647366057538,0.20658686972895107,0.9999999999999917,0.4041431364684008,2.00807784273135e-18,4.813701823147399e-18,0.3214909162585211,0.19030501834191138,0.9515250917095569,0.4163196552013811,3.252055482538389e-18,7.78699366986276e-18,0.9926703340039073,0.47950012218695337,0.5993751527336917,0.2360061647565078,0.8869162493981317,1.0,0.4196227825532681,2.00807784273135e-18,4.1342014235542984e-18,0.7287183137934594,0.6713732405408727,0.7459702672676363,0.32762779840190376,0.12540163415412048,0.6270081707706023,0.4090512117193424,1.9482799225479546e-18,5.1039393854061254e-18,1.011619239055133,1.0,1.0,0.3269140351074016,0.20268341548994895,1.0,0.3950655035330153,1.9482799225479546e-18,5.112831740936498e-18,1.009415345843471,1.0,1.0,0.2251668577938169,0.931275271646459,0.9999999999999983,0.4101551787960407,2.00807784273135e-18,6.311606041551026e-18,0.695249690206058,0.20309178757716426,0.2538647344714553,None,0.3238647366057538,0.20658686972895107,0.7117468949140342,0.4041431364684008,2.00807784273135e-18,4.9527602858578004e-18
AGRN,0.1259849891943207,0.9942378706836706,0.9999999999999917,0.43850326673556284,6.346292567149034e-16,7.051436185721148e-16,0.28275116398992856,0.4331036573792232,1.0,0.42447071437613554,3.671547923504424e-17,4.5894349043805295e-17,2.244324230990804,0.4203911327259706,0.5993751527336917,0.025162109036299056,0.999958396482328,1.0,0.4490326343298329,6.346292567149034e-16,7.051436185721148e-16,0.199723071750149,0.3373872956811671,0.7459702672676363,0.17017431099459604,0.986595279444931,1.0,0.4373304524570032,3.8324433726134177e-16,4.2582704140149083e-16,1.3507506892913825,1.0,1.0,0.14086354128763837,0.9943274525963829,1.0,0.46481083209298135,1.6739642567252732e-15,1.8599602852503035e-15,1.1180978161641846,1.0,1.0,0.009314213076891915,0.9999990927501211,0.9999999999999983,0.47150260875251243,7.501886431079949e-16,8.33542936786661e-16,0.0739311336728026,0.1421505514235499,0.203072216319357,None,0.1259849891943207,0.9942378706836706,0.9999999967692278,0.43850326673556284,6.346292567149034e-16,7.051436185721148e-16
C1orf159,-0.368024818044201,0.9999999999606731,0.9999999999999917,0.3919471684726008,2.4068509115736995e-18,4.813701823147399e-18,0.06482566820134687,0.9999859503629047,1.0,0.4391842930190341,2.883601807908569e-18,7.78699366986276e-18,6.4825668201346875,1.539537885932637e-05,7.697689429663185e-05,0.18566790335284838,0.9414812984036995,1.0,0.40113087717852136,2.1331613653591172e-18,4.1342014235542984e-18,18.56679033528484,1.411990329119837e-11,1.4119903291198368e-10,-0.4468804895583347,0.9999999999999825,1.0,0.3971380322606117,2.634602240773196e-18,5.1039393854061254e-18,-44.688048955833466,0.48459988362076756,0.9277629481883731,0.0406650926844087,0.9999975366903111,1.0,0.43574797675589233,4.946504590755182e-18,8.244174317925305e-18,4.06650926844087,1.8244312669030664e-05,9.122156334515332e-05,-0.28990505403493483,0.9999999999999983,0.9999999999999983,0.4167908354304046,3.062363631243675e-18,6.311606041551026e-18,-28.990505403493483,0.5430914189526868,0.6034349099474298,Sex,0.18566790335284838,0.9414812984036995,0.9999999967692278,0.40113087717852136,2.1331613653591172e-18,4.9527602858578004e-18
