gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,0.4363039654464216,0.00013389132817624505,0.0013389132817624503,0.38180734716940123,2.7981239507340175e-18,5.596247901468035e-18,0.37161020711997267,0.03023675693391201,0.15118378466956003,0.36727613692958444,2.265930530554773e-18,6.2013021353314465e-18,0.851723194263763,0.47950012218695337,0.5993751527336917,0.5924618557952257,5.501793736373604e-13,5.501793736373604e-12,0.32134938839994304,2.265930530554773e-18,7.117077537219983e-18,1.3579107748631738,0.007209570764742524,0.01802392691185631,0.43825016792498617,0.0002889679988964997,0.0028896799889649967,0.3673185573139302,3.252055482538389e-18,6.906672275406012e-18,1.0044606573230963,0.47950012218695337,0.47950012218695337,0.6496423688067514,4.9522614462064824e-12,4.952261446206482e-11,0.2635358844310264,1.9482799225479546e-18,6.017127278934248e-18,1.4889673719606107,0.00040695201744495946,0.0013565067248165316,0.3041385348477474,0.24800272114578997,1.0,0.39316239392485913,2.7151481913173574e-18,9.050493971057858e-18,0.6970794650847514,0.06599205505934735,0.09427436437049623,HPV,0.6496423688067514,4.9522614462064824e-12,4.952261446206482e-11,0.2635358844310264,1.9482799225479546e-18,5.596247901468035e-18
LINC00115,-0.10441026250294416,0.9999999998887704,1.0,0.40198729159950913,2.1331613653591172e-18,5.596247901468035e-18,-0.23127831311672126,0.9999999999999989,1.0,0.46177275808381163,2.4805208541325787e-18,6.2013021353314465e-18,-23.127831311672125,0.4563313477881762,0.5993751527336917,-0.10298356534491852,0.999999999998544,0.9999999999999997,0.40622138080306397,2.556415870468249e-18,7.117077537219983e-18,-10.298356534491852,0.8780129591574772,0.8780129591574772,-0.11933252186706345,0.9999999999579319,0.9999999999999999,0.41568999117032873,2.265930530554773e-18,6.906672275406012e-18,-11.933252186706344,0.41289601433167267,0.4587733492574141,0.21823804359794277,0.9035209678129853,0.9999999999999999,0.39508954206516,2.1331613653591172e-18,6.017127278934248e-18,21.823804359794277,0.00024697057924733646,0.0012348528962366821,-0.322040492095458,1.0,1.0,0.4816055438760957,4.259536271429278e-18,1.0648840678573195e-17,-32.2040492095458,0.011319919170771428,0.037733063902571425,HPV,0.21823804359794277,0.9035209678129853,0.9999999999999283,0.39508954206516,2.1331613653591172e-18,5.596247901468035e-18
FAM41C,-0.17171462896296308,0.9999999999991649,1.0,0.4486008139277344,5.20048193962849e-17,5.778313266253878e-17,0.04562880205520361,0.9999995523708227,1.0,0.4453909135829383,6.09531325108971e-18,1.015885541848285e-17,4.5628802055203606,0.005768893376516668,0.01442223344129167,0.32591237537206885,0.023805291222037315,0.11902645611018657,0.4089263807113373,4.1240923895753404e-17,4.856183319637316e-17,32.59123753720689,9.866270985032367e-12,9.866270985032367e-11,0.14482271924967802,0.9997357027215099,0.9999999999999999,0.44869684011913136,6.664850253937553e-18,9.521214648482219e-18,14.482271924967801,2.5132965885067545e-05,0.0001256648294253377,0.030966705863686862,0.9999980596388067,0.9999999999999999,0.4453911378995202,4.7677489925531396e-17,5.2974988806145994e-17,3.096670586368686,0.0022790648209392475,0.005697662052348118,-0.1673857019567592,0.999999999999956,1.0,0.475592592300679,6.009328767633683e-17,7.511660959542103e-17,-16.73857019567592,1.0,1.0,Sex,0.32591237537206885,0.023805291222037315,0.059513228055093285,0.4089263807113373,4.1240923895753404e-17,4.5823248773059334e-17
NOC2L,0.19939098336567881,0.8215977275945203,1.0,0.40366919154542785,2.7981239507340175e-18,5.596247901468035e-18,0.32986757931021204,0.1311665140779651,0.437221713593217,0.36743228918424614,2.0696869543572095e-18,6.2013021353314465e-18,1.654375607874113,0.6713732405408727,0.7459702672676363,-0.06484571065791837,0.9999999970891988,0.9999999999999997,0.42066592339062064,3.062363631243675e-18,7.117077537219983e-18,-0.32521887180320846,0.0002994889234435504,0.0009982964114785013,0.004101643142342963,0.9999995753441504,0.9999999999999999,0.4291382182522059,3.453336137703006e-18,6.906672275406012e-18,0.020570855678165932,0.002979466656332983,0.005958933312665966,0.21108907578317415,0.9077776407433489,0.9999999999999999,0.37922775276898973,2.4068509115736995e-18,6.017127278934248e-18,1.0586691144204916,0.6713732405408727,0.8392165506760908,0.3414442604272379,0.058054812786682855,0.5805481278668285,0.3401558458590204,2.0696869543572095e-18,9.050493971057858e-18,1.712435811608574,0.47950012218695337,0.5327779135410593,None,0.19939098336567881,0.8215977275945203,0.9999999999999283,0.40366919154542785,2.7981239507340175e-18,5.596247901468035e-18
KLHL17,0.009999999999999998,1.0,1.0,0.47098987872631803,4.123663836847063e-17,5.1545797960588284e-17,-0.39683343022883094,0.9999999999998629,1.0,0.49702091359378087,4.123878107958784e-17,5.15484763494848e-17,-39.68334302288309,0.005232100181409715,0.01442223344129167,-0.4729459940871729,0.999999995626818,0.9999999999999997,0.4833643353024928,4.370564987673585e-17,4.856183319637316e-17,-47.29459940871729,0.1694230460209557,0.2420329228870796,-0.2673028570103823,0.9999999999852397,0.9999999999999999,0.4888672300912439,4.1240923895753404e-17,4.5823248773059334e-17,-26.73028570103823,4.200602080923965e-08,4.200602080923965e-07,0.08694132227044526,0.998973906233656,0.9999999999999999,0.4891481992720279,4.1240923895753404e-17,5.1551154869691755e-17,8.694132227044527,4.0225882637635655e-19,4.0225882637635655e-18,-0.3813871828844209,0.9999999999999974,1.0,0.5026261359465988,4.4991925687278926e-17,6.427417955325561e-17,-38.13871828844209,0.00027952668631373804,0.0016127028809523988,HPV,0.08694132227044526,0.998973906233656,0.9999999999999283,0.4891481992720279,4.1240923895753404e-17,4.5823248773059334e-17
PLEKHN1,-0.20552050936769603,1.0,1.0,0.4322972591875894,7.073395820244489e-18,1.1788993033740815e-17,-0.4616907142323499,1.0,1.0,0.5025456056749859,2.305639533774886e-16,2.561821704194318e-16,-46.16907142323499,5.2088954771289983e-05,0.0002604447738564499,0.05232165786173056,0.9999953501493454,0.9999999999999997,0.45150795943772615,1.3973420463273246e-17,2.328903410545541e-17,5.232165786173056,3.817570140283699e-05,0.00019087850701418493,-0.0005640526025358589,0.9999993083925115,0.9999999999999999,0.4200781289167583,4.946504590755182e-18,8.244174317925305e-18,-0.05640526025358589,0.002029557897492088,0.00507389474373022,-0.41369704979209393,0.9999999999999019,0.9999999999999999,0.44664146252541165,8.969649383346929e-18,1.4949415638911548e-17,-41.369704979209395,0.004431966530653289,0.008863933061306579,-0.4516841884332274,0.9999999999999999,1.0,0.4988293774513762,3.726134550629422e-16,4.1401495006993577e-16,-45.16841884332274,0.0003225405761904798,0.0016127028809523988,Sex,0.05232165786173056,0.9999953501493454,0.9999999999999283,0.45150795943772615,1.3973420463273246e-17,2.328903410545541e-17
HES4,-0.19625790704734933,0.9999999999999283,1.0,0.44403912068204926,7.501886431079949e-16,7.501886431079949e-16,-0.14069931013428338,0.9999999999856566,1.0,0.49248731564361997,1.2360290944443953e-15,1.2360290944443953e-15,-14.069931013428338,0.944657340181319,0.944657340181319,-0.2975234727257906,0.9999999999999997,0.9999999999999997,0.47455782025617865,8.15506389220898e-16,8.15506389220898e-16,-29.75234727257906,0.14670353701714173,0.2420329228870796,-0.2991871746759729,0.9999999999999999,0.9999999999999999,0.4677446178029851,7.713672091178133e-16,7.713672091178133e-16,-29.91871746759729,0.1310393108620914,0.16379913857761422,-0.25542895446515496,0.9999999999999999,0.9999999999999999,0.45670059272181335,7.295830522540812e-16,7.295830522540812e-16,-25.542895446515494,0.386244214229684,0.6437403570494734,-0.24679585698550852,0.9999999999999999,1.0,0.49150635702680107,8.771484459046653e-15,8.771484459046653e-15,-24.679585698550852,0.22174681228750265,0.2771835153593783,None,-0.19625790704734933,0.9999999999999283,0.9999999999999283,0.44403912068204926,7.501886431079949e-16,7.501886431079949e-16
ISG15,0.3062279317825031,0.35135899083938815,1.0,0.3781175195991187,2.00807784273135e-18,5.596247901468035e-18,0.20472203056093752,0.9650066848531389,1.0,0.417324762815381,2.0696869543572095e-18,6.2013021353314465e-18,0.6685282735943903,0.06599205505934735,0.1319841101186947,0.18309959691912497,0.9692892337647582,0.9999999999999997,0.40281877820038126,2.1985567770909467e-18,7.117077537219983e-18,0.5979193205966938,0.3221988061625787,0.3579986735139763,0.18125453854439924,0.9815587880924376,0.9999999999999999,0.39761793800679546,2.00807784273135e-18,6.906672275406012e-18,0.5918942060227687,0.11979493042591895,0.16379913857761422,0.2961694911698744,0.33995022389485685,0.9999999999999999,0.38447577872248445,2.1331613653591172e-18,6.017127278934248e-18,0.9671537454010802,0.887537083981715,0.887537083981715,0.10613706736629709,0.9997035989919808,1.0,0.4115415112831321,2.1331613653591172e-18,9.050493971057858e-18,0.34659499134677374,0.016209541409225422,0.04052385352306355,None,0.3062279317825031,0.35135899083938815,0.7027179816787763,0.3781175195991187,2.00807784273135e-18,5.596247901468035e-18
AGRN,0.0020777117068082737,0.999998507492832,1.0,0.4086610504451426,3.779867676618672e-17,5.1545797960588284e-17,0.357475764950518,0.007821448793304233,0.07821448793304232,0.3587868362989321,3.779867676618672e-17,5.15484763494848e-17,35.7475764950518,3.908449276159173e-06,3.9084492761591724e-05,-0.11044340520905287,0.99999999999553,0.9999999999999997,0.41660975879991574,3.779867676618672e-17,4.856183319637316e-17,-11.044340520905287,0.28309119153209167,0.35386398941511454,-0.3075154476482126,0.9999999999999993,0.9999999999999999,0.42563484195699774,3.779867676618672e-17,4.5823248773059334e-17,-30.751544764821258,0.00025421744481745066,0.0008473914827248355,-0.0267444810849724,0.999999999627093,0.9999999999999999,0.42160611955518346,3.779867676618672e-17,5.1551154869691755e-17,-2.67444810849724,0.8627876518406198,0.887537083981715,0.1022089374020341,0.9999304220912272,1.0,0.435550573390217,3.779867676618672e-17,6.29977946103112e-17,10.22089374020341,0.060016698981729254,0.09427436437049623,Alcohol,0.357475764950518,0.007821448793304233,0.036908905322446964,0.3587868362989321,3.779867676618672e-17,4.5823248773059334e-17
C1orf159,0.38700294353260145,0.011072671596734088,0.05536335798367044,0.417585118160136,2.7981239507340175e-18,5.596247901468035e-18,0.28952662042849736,0.39031262758968227,0.9757815689742056,0.43743610363200036,5.096481202272684e-18,1.015885541848285e-17,0.748125111880725,0.18285257626302956,0.3047542937717159,0.17830303994183155,0.9602966627123142,0.9999999999999997,0.4297865742120455,3.558538768609991e-18,7.117077537219983e-18,0.46072786504997515,0.021174362466670257,0.04234872493334051,0.2663367780531783,0.5189450419400595,0.9999999999999999,0.4311439094251015,3.155803020775513e-18,6.906672275406012e-18,0.6882034943249518,0.10029206671561994,0.16379913857761422,0.38335946427410333,0.006592514759422137,0.032962573797110685,0.4216456829712717,3.453336137703006e-18,6.906672275406012e-18,0.9905853965211735,0.6555457537904961,0.8392165506760908,0.13171813170725175,0.999152923874297,1.0,0.45807236714569316,6.866125121302437e-18,1.3732250242604873e-17,0.34035434073166343,0.02641614684126967,0.05283229368253934,None,0.38700294353260145,0.011072671596734088,0.036908905322446964,0.417585118160136,2.7981239507340175e-18,5.596247901468035e-18
