gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,-0.2724875980669193,0.9999999999999979,0.9999999999999998,0.40930755925646806,2.265930530554773e-18,4.531861061109546e-18,0.055850265083335134,0.9998747831255971,0.9999999999999833,0.39684674907053546,2.1985567770909467e-18,6.787870478293393e-18,5.585026508333513,0.0010783510102682834,0.002695877525670708,0.11112881501593051,0.9998061745474761,0.9999999999999984,0.40971034449147825,2.1331613653591172e-18,4.531861061109546e-18,11.112881501593051,3.75449128853376e-05,9.386228221334399e-05,0.14796645307945533,0.988887079496182,1.0,0.38072206666037267,2.1331613653591172e-18,4.2663227307182344e-18,14.796645307945532,6.526880098391141e-07,3.26344004919557e-06,0.0807793618144388,0.9997618834148664,0.9999999999999994,0.429923268016,2.4805208541325787e-18,4.933337339575723e-18,8.07793618144388,3.6295716881050704e-06,1.2098572293683568e-05,-0.5005840099539978,1.0,1.0,0.4602674276185719,2.7151481913173574e-18,6.787870478293393e-18,-50.05840099539977,0.015674914635002004,0.05224971545000668,Age,0.14796645307945533,0.988887079496182,0.9999999905751823,0.38072206666037267,2.1331613653591172e-18,4.2663227307182344e-18
LINC00115,0.14534580302826539,0.9901371423452544,0.9999999999999998,0.37063959410166275,2.00807784273135e-18,4.531861061109546e-18,0.14554871412757373,0.994014679845154,0.9999999999999833,0.4305257558167567,3.77852402453971e-18,7.55704804907942e-18,1.0013960575061729,0.7727220400442464,0.858580044493607,-0.03282030596867335,0.999999986363683,0.9999999999999984,0.38461474054233347,2.0696869543572095e-18,4.531861061109546e-18,-0.2258084188525952,0.016997922374894232,0.033995844749788465,-0.023958887961166745,0.9999999501268664,1.0,0.3869920812736494,2.0696869543572095e-18,4.2663227307182344e-18,-0.16484059024743536,0.08159089845381398,0.13598483075635664,-0.02654532436717503,0.9999999399509015,0.9999999999999994,0.4054042332852933,2.265930530554773e-18,4.933337339575723e-18,-0.1826356441954692,0.04006679653816988,0.06677799423028313,0.21105203084537535,0.9292026836319812,1.0,0.43606751688847323,4.946504590755182e-18,9.893009181510365e-18,1.4520682843819859,0.5615709749213934,0.7019637186517417,None,0.14534580302826539,0.9901371423452544,0.9999999905751823,0.37063959410166275,2.00807784273135e-18,4.2663227307182344e-18
FAM41C,-0.3395988771477364,0.999999999998628,0.9999999999999998,0.38446981634347455,2.0696869543572095e-18,4.531861061109546e-18,-0.18347777152388633,0.9999999999999833,0.9999999999999833,0.41915071965077244,2.1331613653591172e-18,6.787870478293393e-18,-18.347777152388634,0.2990837176269362,0.40274850770322335,0.2694291378510488,0.5167042059926661,0.9999999999999984,0.3599118050684386,2.00807784273135e-18,4.531861061109546e-18,26.94291378510488,2.1624628372740513e-12,2.1624628372740513e-11,-0.5139725325925695,0.9999999999999999,1.0,0.3985202757570807,2.0696869543572095e-18,4.2663227307182344e-18,-51.39725325925695,0.030491567528034166,0.06098313505606833,0.2085814285809147,0.9315762344533303,0.9999999999999994,0.3920688567251754,2.00807784273135e-18,4.933337339575723e-18,20.85814285809147,6.703702669172574e-11,3.351851334586287e-10,-0.1331004585969855,0.9999999999945226,1.0,0.4036697344423208,2.0696869543572095e-18,6.787870478293393e-18,-13.31004585969855,0.03934959478210258,0.09837398695525644,Sex,0.2694291378510488,0.5167042059926661,0.9999999905751823,0.3599118050684386,2.00807784273135e-18,4.2663227307182344e-18
NOC2L,0.00849627070760548,0.9999999905751823,0.9999999999999998,0.34340023339542475,1.9482799225479546e-18,4.531861061109546e-18,0.012677580246719371,0.9999997071687378,0.9999999999999833,0.3943755564857827,1.9482799225479546e-18,6.787870478293393e-18,1.267758024671937,0.9440574681286692,0.9440574681286692,-0.027621362730708407,0.9999999998646124,0.9999999999999984,0.36881462300374246,1.9482799225479546e-18,4.531861061109546e-18,-2.7621362730708405,0.5168397322474809,0.5742663691638676,-0.17877978392786756,0.9999999999999996,1.0,0.37479079570981144,1.9482799225479546e-18,4.2663227307182344e-18,-17.877978392786755,0.001348536928459619,0.004495123094865397,-0.1263561222063586,0.9999999999997292,0.9999999999999994,0.35493694783081364,1.9482799225479546e-18,4.933337339575723e-18,-12.635612220635862,0.01012407528762356,0.0253101882190589,-0.062417496863046144,0.9999999999966261,1.0,0.37405262502284026,1.9482799225479546e-18,6.787870478293393e-18,-6.2417496863046145,0.2261749975577087,0.37695832926284784,None,0.00849627070760548,0.9999999905751823,0.9999999905751823,0.34340023339542475,1.9482799225479546e-18,4.2663227307182344e-18
KLHL17,-0.521611057707767,0.9999953307019145,0.9999999999999998,0.39991763695952526,2.1985567770909467e-18,4.531861061109546e-18,0.14687671205217173,0.9931329651040255,0.9999999999999833,0.4219873353957835,3.779867676618672e-17,5.399810966598103e-17,14.687671205217173,5.09199346086159e-07,2.545996730430795e-06,-0.1646846665691533,0.9999999998914221,0.9999999999999984,0.4132529080028917,2.265930530554773e-18,4.531861061109546e-18,-16.46846665691533,1.532170116147218e-06,5.107233720490727e-06,0.2568152955267173,0.6742956502787901,1.0,0.4363191201955021,2.1331613653591172e-18,4.2663227307182344e-18,25.681529552671726,3.8981424930205785e-07,3.26344004919557e-06,-0.41404569222598114,0.9999999545634397,0.9999999999999994,0.40078363450045495,2.1985567770909467e-18,4.933337339575723e-18,-41.40456922259811,0.28628906252497177,0.40274850770322335,-0.11305953951102331,0.9999999999972214,1.0,0.43757687593669625,2.7151481913173574e-18,6.787870478293393e-18,-11.30595395110233,3.0403130808743544e-07,3.0403130808743544e-06,Age,0.2568152955267173,0.6742956502787901,0.9999999905751823,0.4363191201955021,2.1331613653591172e-18,4.2663227307182344e-18
PLEKHN1,-0.30392577467519155,0.9999999999999432,0.9999999999999998,0.37284567587671097,2.7981239507340175e-18,4.6635399178900295e-18,-0.06173181809293497,0.9999999998629527,0.9999999999999833,0.38612375417404415,2.7151481913173574e-18,6.787870478293393e-18,-6.173181809293498,0.010225819230965029,0.017043032051608384,0.12400355965910703,0.999862029986796,0.9999999999999984,0.39952984764668154,2.883601807908569e-18,4.806003013180949e-18,12.400355965910704,7.162211319292396e-08,3.5811056596461976e-07,-0.0014620979249364652,0.9999996799268278,1.0,0.41216723868032046,6.552916051167173e-17,9.361308644524534e-17,-0.14620979249364652,0.010225819230965029,0.025564548077412572,-0.27502812994847503,0.9999999999999994,0.9999999999999994,0.4008456026102168,3.453336137703006e-18,4.933337339575723e-18,-27.502812994847503,0.9851026980540483,0.9851026980540483,-0.08595289780853758,0.9999999999992383,1.0,0.3967989448829758,5.353159675206607e-17,7.87179358801341e-17,-8.595289780853758,0.011812502574117423,0.05224971545000668,Sex,0.12400355965910703,0.999862029986796,0.9999999905751823,0.39952984764668154,2.883601807908569e-18,4.508290029679305e-18
HES4,-0.2536425407611256,0.9999999999999998,0.9999999999999998,0.42207838547953097,3.89349683493138e-18,5.562138335616258e-18,0.15646618946706467,0.9976455652311217,0.9999999999999833,0.4465389915407514,1.2790528860117708e-17,2.131754810019618e-17,15.646618946706466,6.7000276540849075e-09,6.700027654084907e-08,-0.24375838160506966,0.9999999999999984,0.9999999999999984,0.44597219998749466,4.133899292257757e-18,5.905570417511082e-18,-24.375838160506966,0.887537083981715,0.887537083981715,-0.3331783238123533,1.0,1.0,0.44729106727429274,5.096481202272684e-18,8.49413533712114e-18,-33.31783238123533,0.47950012218695337,0.5327779135410593,0.3404723851022156,0.05765676005732959,0.39150720504333997,0.3960813698428602,3.155803020775513e-18,4.933337339575723e-18,34.04723851022156,4.218936524005768e-12,4.2189365240057676e-11,-0.28740566569190623,0.9999999999999999,1.0,0.4844692779590977,5.510255511609386e-17,7.87179358801341e-17,-28.740566569190623,0.887537083981715,0.9371249001547255,HPV,0.3404723851022156,0.05765676005732959,0.2882838002866479,0.3960813698428602,3.155803020775513e-18,4.508290029679305e-18
ISG15,0.26832582953899553,0.5776888573234618,0.9999999999999998,0.44307991428872034,6.710534756447997e-16,8.388168445559996e-16,0.30724179453446215,0.2185612686929988,0.9999999999999833,0.46750921491623976,9.633952728877893e-16,1.2042440911097367e-15,1.145032496731035,0.3221988061625787,0.40274850770322335,0.19415869421387677,0.9236907198086842,0.9999999999999984,0.45313942584882183,2.263870484490576e-15,2.8298381056132196e-15,0.7235930083490523,0.3221988061625787,0.40274850770322335,0.2875543755748209,0.32868618485903445,1.0,0.4465242463606069,2.2248909727900323e-14,2.7811137159875402e-14,1.071661181738864,1.0,1.0,0.33277719114556137,0.078301441008668,0.39150720504333997,0.4680251533701702,3.762889813702651e-14,4.7036122671283136e-14,1.2401981267226425,0.3221988061625787,0.40274850770322335,0.22484923121021094,0.870291582806564,1.0,0.46140443478238957,1.4189796351503248e-15,1.773724543937906e-15,0.8379708788994308,0.47950012218695337,0.6850001745527906,None,0.26832582953899553,0.5776888573234618,0.9999999905751823,0.44307991428872034,6.710534756447997e-16,8.388168445559996e-16
AGRN,0.0856359626235525,0.9999184886094983,0.9999999999999998,4604.854490244078,1.9961127109739944e-10,1.9961127109739944e-10,0.4548898077621305,4.24606943118101e-05,0.000424606943118101,3329.2391910648066,6.250933226021291e-11,6.94548136224588e-11,5.311901610329093,9.649756516136251e-07,3.2165855053787504e-06,-0.11211117577542147,0.9999999996430221,0.9999999999999984,4604.867035691937,2.0408029679593746e-10,2.2675588532881939e-10,-1.3091599877057665,0.05729110493013609,0.09548517488356015,-0.1438468806450405,0.9999999999943765,1.0,4530.090827502549,1.0745057418761464e-09,1.0745057418761464e-09,-1.6797485103002536,0.19109203679867728,0.2388650459983466,0.04188767412521214,0.9999990219746083,0.9999999999999994,4944.382435265879,1.9962900200582337e-10,2.2181000222869264e-10,0.48913648941328947,0.5831025417584833,0.6478917130649814,0.17756465465498658,0.9902818846819503,1.0,4046.0724806049443,7.177115928617771e-10,7.974573254019744e-10,2.0734823223222683,0.12414267581820534,0.2482853516364107,Alcohol,0.4548898077621305,4.24606943118101e-05,0.000424606943118101,3329.2391910648066,6.250933226021291e-11,6.250933226021291e-11
C1orf159,0.01397112459376396,0.9999966328803698,0.9999999999999998,0.656059134711394,3.714682915203635e-12,4.127425461337372e-12,-0.23842811910255357,0.999999999999971,0.9999999999999833,0.8695490850161288,0.0011714828383159466,0.0011714828383159466,-17.065778599453367,0.0020127113435167857,0.004025422687033571,-0.053413697914654376,0.9999999995776636,0.9999999999999984,0.6975182296126111,1.0300229753599876e-09,1.0300229753599876e-09,-3.8231494935272203,0.08588450289505428,0.1226921469929347,-0.0664820080777457,0.9999999988075758,1.0,0.6757808580433532,3.537375546246698e-11,3.9304172736074423e-11,-4.758529467801044,0.18358132127856308,0.2388650459983466,-0.18559874803345222,0.9999999999910486,0.9999999999999994,0.7730998365758068,8.214264041135452e-07,8.214264041135452e-07,-13.284453000748028,0.021256330181279124,0.04251266036255825,0.030980339300017146,0.999997959191325,1.0,0.7978466174338118,4.173808773226616e-06,4.173808773226616e-06,2.217454943737692,0.9371249001547255,0.9371249001547255,None,0.01397112459376396,0.9999966328803698,0.9999999905751823,0.656059134711394,3.714682915203635e-12,4.127425461337372e-12
