gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,-0.3196220674747265,0.9999999999999968,0.9999999999999999,0.324986245669286,1.9482799225479546e-18,6.2013021353314465e-18,-0.26951838659102934,0.9999999999997474,1.0,0.3542552014796606,1.9482799225479546e-18,6.995309876835043e-18,-26.951838659102933,0.47495853988950676,0.47495853988950676,-0.21769821600047712,0.9999999999995477,1.0,0.34887799462993174,1.9482799225479546e-18,5.430296382634715e-18,-21.76982160004771,0.13052708798331206,0.22468350165219184,-0.44106298802090194,1.0,1.0,0.3398747128526225,1.9482799225479546e-18,6.017127278934248e-18,-44.106298802090194,0.032088733978231254,0.16947426762344647,-0.010381554088641125,0.9999977113846117,0.9999999999993922,0.3651862952151912,2.4805208541325787e-18,9.446310061349275e-18,-1.0381554088641125,0.0010147725201755553,0.0050738626008777765,-0.10539175817454978,0.9999999997458028,0.9999999999999998,0.4376148215976344,1.2790528860117708e-17,2.5581057720235416e-17,-10.539175817454979,0.006630556860454103,0.014419141529485048,HPV,-0.010381554088641125,0.9999977113846117,0.9999977113846117,0.3651862952151912,2.4805208541325787e-18,6.2013021353314465e-18
LINC00115,-0.04504090132727965,0.9999999977801848,0.9999999999999999,0.4492543619556793,7.966035998329057e-18,1.5932071996658114e-17,-0.43431752401857365,1.0,1.0,0.49507569704568793,2.664486194837423e-17,3.806408849767747e-17,-43.431752401857366,6.328676315635333e-05,0.0001582169078908833,0.06756241661061278,0.9999774965547377,1.0,0.47191271813073254,2.3704472891300432e-17,3.950745481883405e-17,6.756241661061278,0.15310606090645923,0.22468350165219184,-0.14279447799735018,0.9999999999992132,1.0,0.4636584735135996,1.6189188495715367e-17,2.6981980826192278e-17,-14.279447799735017,0.25307320034790093,0.6326830008697523,-0.17085981530351504,0.9999999999993922,0.9999999999993922,0.4826506770924045,1.6672255117299668e-17,2.778709186216612e-17,-17.085981530351503,0.2261749975577087,0.3231071393681553,0.27535338687289185,0.5736480423615427,0.9999999999999998,0.4222485219141097,1.0401067796142073e-17,2.5581057720235416e-17,27.535338687289183,8.84836591760477e-05,0.0004424182958802385,Tobacco,0.27535338687289185,0.5736480423615427,0.7170600529519283,0.4222485219141097,1.0401067796142073e-17,1.7335112993570122e-17
FAM41C,0.2920632664600319,0.18383640335731283,0.6127880111910428,0.36449431453492537,2.4805208541325787e-18,6.2013021353314465e-18,0.25032200630667684,0.7669761886204327,1.0,0.3868606515055218,2.7981239507340175e-18,6.995309876835043e-18,0.8570814445127517,0.3221988061625787,0.3579986735139763,0.24437668679235977,0.5342501457579821,1.0,0.3727327979890617,2.4068509115736995e-18,5.430296382634715e-18,0.8367251717559013,0.6713732405408727,0.7459702672676363,0.3253957824644049,0.04502878110799664,0.1500959370266555,0.3738458073557166,2.4068509115736995e-18,6.017127278934248e-18,1.1141277244768968,0.47950012218695337,0.799166870311589,0.16417369013975544,0.9709217892271917,0.9999999999993922,0.3765259550445452,2.883601807908569e-18,9.446310061349275e-18,0.5621168732707514,0.06599205505934735,0.16498013764836839,0.1897394350005806,0.9144148829436365,0.9999999999999998,0.3652314672127686,2.4805208541325787e-18,1.2402604270662893e-17,0.6496518281820489,0.20309178757716426,0.2256575417524047,None,0.2920632664600319,0.18383640335731283,0.3063940055955214,0.36449431453492537,2.4805208541325787e-18,6.2013021353314465e-18
NOC2L,-0.3370277022967976,0.9999999999999999,0.9999999999999999,0.37677904225500347,4.006048370903621e-17,5.007560463629526e-17,0.2916968972712781,0.28641610617536883,0.5728322123507377,0.4383076011514677,1.3428031528819273e-15,1.3428031528819273e-15,29.16968972712781,1.265230143865807e-15,1.265230143865807e-14,-0.36797036594054244,1.0,1.0,0.41798997726853165,4.1240923895753404e-17,5.1551154869691755e-17,-36.79703659405424,0.9438049262623683,0.9438049262623683,-0.31288794914259804,0.9999999999999999,1.0,0.38759517950695,3.891337737234509e-17,5.007560463629526e-17,-31.288794914259803,1.0,1.0,0.4734945883412782,8.616428212416e-07,8.616428212416e-06,0.3855174220057138,4.4104803207895215e-16,4.900533689766134e-16,47.34945883412782,2.3719609306353244e-28,2.3719609306353243e-27,-0.17567868416024532,0.9999999999999535,0.9999999999999998,0.44439214802414867,7.789599455000806e-17,8.655110505556451e-17,-17.56786841602453,0.05043655631433991,0.07205222330619987,HPV,0.4734945883412782,8.616428212416e-07,8.616428212416e-06,0.3855174220057138,4.4104803207895215e-16,4.900533689766134e-16
KLHL17,0.22392128495015767,0.9012800329168565,0.9999999999999999,12460.916052473309,7.501886431079949e-16,7.501886431079949e-16,0.3317889574816924,0.07999422592930489,0.38804605446011703,8799.921651126719,6.525910901511763e-16,7.251012112790848e-16,1.4817213895300076,0.01625248064018264,0.027087467733637734,0.01958106457552837,0.9999996276942437,1.0,12400.044279157186,8.15506389220898e-16,8.15506389220898e-16,0.08744619601431321,0.012661709580045455,0.04220569860015152,0.08791087074343061,0.9999033320871563,1.0,12604.069687548099,7.501886431079949e-16,7.501886431079949e-16,0.3925972055894488,0.18686829372064462,0.6228943124021488,0.2282825614819269,0.8498076515459263,0.9999999999993922,11971.926319181106,7.095351720181712e-16,7.095351720181712e-16,1.0194768288005314,0.5096308303026298,0.6370385378782872,0.4499547920857376,0.00020138538591409882,0.0020138538591409883,10260.965331736214,6.346292567149034e-16,6.346292567149034e-16,2.0094328781021975,0.005812322824217119,0.014419141529485048,Tobacco,0.4499547920857376,0.00020138538591409882,0.000671857816944771,10260.965331736214,6.346292567149034e-16,6.346292567149034e-16
PLEKHN1,0.4281611210364652,0.0002015573450834313,0.001929732753028324,0.38099816962751426,2.1985567770909467e-18,6.2013021353314465e-18,0.4812593599591699,8.489629991909668e-08,8.489629991909667e-07,0.3130723106923549,2.00807784273135e-18,6.995309876835043e-18,1.1240146204638288,0.20309178757716426,0.29013112511023464,0.34528582605726965,0.02441001036314322,0.1220500518157161,0.398927129393768,2.7151481913173574e-18,5.430296382634715e-18,0.8064389994622204,0.15727845115653427,0.22468350165219184,0.36238563774890037,0.022690534640787654,0.11345267320393826,0.39349108506489755,2.4068509115736995e-18,6.017127278934248e-18,0.8463767958932382,0.3221988061625787,0.6443976123251574,0.3695278274241774,0.017233315838489294,0.05744438612829765,0.379084824155144,2.1985567770909467e-18,9.446310061349275e-18,0.8630578753382557,0.887537083981715,0.887537083981715,0.2250659861557616,0.8312943267811823,0.9999999999999998,0.40257402211252646,6.469400084126466e-18,2.156466694708822e-17,0.5256572236426702,0.007209570764742524,0.014419141529485048,None,0.4281611210364652,0.0002015573450834313,0.000671857816944771,0.38099816962751426,2.1985567770909467e-18,6.2013021353314465e-18
HES4,-0.03651640163075933,0.9999999934854197,0.9999999999999999,0.4405282592521889,3.891337737234509e-17,5.007560463629526e-17,0.3138220515553522,0.15521842178404682,0.38804605446011703,0.404042566065202,3.779867676618672e-17,4.7248345957733394e-17,31.38220515553522,2.8786346216468433e-05,0.00013699292699819596,-0.3511764953376701,1.0,1.0,0.4769291901520852,4.006048370903621e-17,5.1551154869691755e-17,-35.11764953376701,5.336724219912211e-05,0.0005336724219912211,-0.06556930563778667,0.9999999999896753,1.0,0.46142747186234084,4.006048370903621e-17,5.007560463629526e-17,-6.556930563778667,0.5696715815879663,0.8138165451256661,-0.07322945391155251,0.99999999958959,0.9999999999993922,0.45014146626458135,3.891337737234509e-17,4.864172171543136e-17,-7.322945391155251,0.7232689463353914,0.8036321625948794,0.10332105773746068,0.9998764535245005,0.9999999999999998,0.4601546817685634,3.891337737234509e-17,5.891560556536201e-17,10.332105773746068,0.28746240864437456,0.28746240864437456,Alcohol,0.3138220515553522,0.15521842178404682,0.3063940055955214,0.404042566065202,3.779867676618672e-17,4.7248345957733394e-17
ISG15,-0.0064952730114630096,0.9999999815162219,0.9999999999999999,0.45009544239514127,8.016980364141517e-17,8.907755960157241e-17,0.24768929726118408,0.5424421083479422,0.9040701805799036,0.4169336037441015,6.866125121302437e-18,1.1443541868837395e-17,24.768929726118408,4.109787809945878e-05,0.00013699292699819596,-0.1834881177598295,0.9999999999991813,1.0,0.4754140690969271,2.5100711690792423e-16,2.7889679656436027e-16,-18.348811775982952,0.007209570764742524,0.03604785382371262,-0.11748653895406118,0.9999999999972182,1.0,0.4697572053896213,2.4400172105065426e-16,2.7111302338961583e-16,-11.748653895406118,0.033894853524689295,0.16947426762344647,0.1725867759095593,0.9869458201331542,0.9999999999993922,0.44030327950631754,4.800885371721451e-18,9.601770743442903e-18,17.25867759095593,0.06599205505934735,0.16498013764836839,0.14331864236425157,0.9917240336470351,0.9999999999999998,0.45927250017922433,5.353159675206607e-17,6.691449594008259e-17,14.331864236425156,0.06599205505934735,0.08249006882418419,Alcohol,0.24768929726118408,0.5424421083479422,0.7170600529519283,0.4169336037441015,6.866125121302437e-18,1.3732250242604873e-17
AGRN,0.2015910000602655,0.9231667790407122,0.9999999999999999,0.39726973274809263,1.9482799225479546e-18,6.2013021353314465e-18,-0.054548614034228074,0.9999999889150277,1.0,0.43794607978898453,2.556415870468249e-18,6.995309876835043e-18,-0.2705905224832497,0.003495595507356859,0.006991191014713718,0.024269862994709568,0.9999989917563955,1.0,0.4235371098577831,2.00807784273135e-18,5.430296382634715e-18,0.12039159976117042,0.0388903145800342,0.0972257864500855,0.20740474149076596,0.9509194025436458,1.0,0.40588817505562164,2.00807784273135e-18,6.017127278934248e-18,1.028839290587191,0.7224427361012445,0.9030534201265557,0.33356800008694626,0.19030501834191138,0.47576254585477845,0.4205192001760672,3.77852402453971e-18,9.446310061349275e-18,1.6546770440507081,0.10100965246922014,0.20201930493844028,-0.3625298663983783,0.9999999999999998,0.9999999999999998,0.47374768031184994,2.1331613653591172e-18,1.2402604270662893e-17,-1.7983435088372013,2.2869471269534978e-10,2.2869471269534976e-09,None,0.2015910000602655,0.9231667790407122,0.9999977113846117,0.39726973274809263,1.9482799225479546e-18,6.2013021353314465e-18
C1orf159,0.4411221694934514,0.0003859465506056648,0.001929732753028324,0.328847468026181,3.083034879808227e-17,5.007560463629526e-17,0.3268062110714325,0.13786781054670527,0.38804605446011703,0.3620515793024077,6.279608294570544e-18,1.1443541868837395e-17,0.7408519309893448,0.3221988061625787,0.3579986735139763,0.5117333489662358,2.942867654213171e-08,2.942867654213171e-07,0.30230846767152275,2.4805208541325787e-18,5.430296382634715e-18,1.16007170882812,0.6713732405408727,0.7459702672676363,0.4550847969721828,1.214841129389058e-06,1.2148411293890579e-05,0.3456247292336488,1.2790528860117708e-17,2.5581057720235416e-17,1.031652518155605,0.887537083981715,0.986152315535239,0.38069182709918187,0.014007024752391826,0.05744438612829765,0.33352657464066027,2.908356581235681e-17,4.154795116050973e-17,0.8630076958869177,0.20309178757716426,0.3231071393681553,0.2031097898263485,0.940331343386732,0.9999999999999998,0.37100133498696325,4.1240923895753404e-17,5.891560556536201e-17,0.4604388622308037,0.016209541409225422,0.02701590234870904,None,0.4411221694934514,0.0003859465506056648,0.000964866376514162,0.328847468026181,3.083034879808227e-17,4.404335542583182e-17
