gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,-0.3096447849993317,0.9999999999999988,0.9999999999999988,0.3652582384550145,3.77852402453971e-18,7.55704804907942e-18,-0.29236228374370365,0.9999999999999998,0.9999999999999998,0.4271913637348018,3.779867676618672e-17,6.485562895390848e-17,-29.236228374370366,0.28092881527053015,0.6443976123251574,-0.09503991717281679,0.9999999999895169,0.9999999999999999,0.4120775000928485,4.259536271429278e-18,8.519072542858556e-18,-9.503991717281679,0.060546098703664016,0.07332450562149706,-0.4066241724546251,1.0,1.0,0.3844150898106831,4.011921198939099e-18,8.023842397878198e-18,-40.662417245462514,0.014597003408771722,0.04052385352306355,-0.03620297477295608,0.9999999998218383,0.999999999999999,0.4038245987923399,3.779867676618672e-17,6.485562895390848e-17,-3.620297477295608,0.001186243302250257,0.0039541443408341904,0.13773660035046362,0.9959042361582082,0.9999999999999999,0.44067121525882397,7.966035998329057e-18,1.5932071996658114e-17,13.773660035046362,6.516776095611188e-10,6.516776095611188e-09,Tobacco,0.13773660035046362,0.9959042361582082,0.9999999999629186,0.44067121525882397,7.966035998329057e-18,1.5932071996658114e-17
LINC00115,0.2562326371777495,0.21675395409075593,0.9999999999999988,25620.37261409964,1.176328883258938e-08,1.176328883258938e-08,-0.05352083336583701,0.9999999999944745,0.9999999999999998,40872.17960418011,6.307681685677365e-06,6.307681685677365e-06,-0.2088759416260834,9.198263904129025e-09,9.198263904129025e-08,0.3809847656755229,0.0001474359765577999,0.0014743597655779987,22539.748960821435,1.003181056256522e-07,1.003181056256522e-07,1.4868705636871402,0.025559006379023922,0.051118012758047844,-0.016242825979128274,0.9999987516615871,1.0,35578.53353517852,0.006650739178882502,0.006650739178882502,-0.06339093316930024,0.0001883305741917641,0.0009416528709588204,0.07287268770474473,0.9999998326709186,0.999999999999999,25041.842896766808,3.200731721680844e-07,3.200731721680844e-07,0.28440049053623356,5.7848211969346385e-05,0.0005784821196934639,0.0810753175627254,0.9990640824005272,0.9999999999999999,32352.17894825013,3.0221250666980097e-06,3.0221250666980097e-06,0.3164129224743652,0.021564372166767674,0.035940620277946124,Sex,0.3809847656755229,0.0001474359765577999,0.0014743597655779987,22539.748960821435,1.003181056256522e-07,1.003181056256522e-07
FAM41C,-0.002093067908152414,0.9999996964606159,0.9999999999999988,0.3726892136311381,1.9482799225479546e-18,5.020194606828374e-18,-0.03537908977193505,0.9999999992509786,0.9999999999999998,0.38895414593264954,1.9482799225479546e-18,5.020194606828374e-18,-3.537908977193505,0.5220289603658164,0.8372493854586608,-0.21420072219900158,0.9999999999999896,0.9999999999999999,0.3831430242773234,1.9482799225479546e-18,5.332903413397793e-18,-21.420072219900156,0.008065214080351681,0.026884046934505607,0.16461426725837797,0.9859929752476082,1.0,0.3686917364717929,1.9482799225479546e-18,5.174217385893023e-18,16.461426725837796,0.027103200138601034,0.05420640027720207,-0.05017893262071125,0.9999999992183606,0.999999999999999,0.3803839313397346,1.9482799225479546e-18,6.6935928091045e-18,-5.017893262071125,0.7224427361012445,0.802714151223605,-0.107960685676825,0.9999999999545148,0.9999999999999999,0.39843174383169044,1.9482799225479546e-18,6.787870478293393e-18,-10.7960685676825,0.2261749975577087,0.25130555284189854,Age,0.16461426725837797,0.9859929752476082,0.9999999999629186,0.3686917364717929,1.9482799225479546e-18,5.020194606828374e-18
NOC2L,0.22193915529842226,0.8398096554060224,0.9999999999999988,0.3660671754141894,1.9482799225479546e-18,5.020194606828374e-18,0.10274348379459886,0.9998387286398166,0.9999999999999998,0.3963818544128066,1.9482799225479546e-18,5.020194606828374e-18,0.46293536467888524,0.3221988061625787,0.6443976123251574,0.01911661663786638,0.9999992963561688,0.9999999999999999,0.3824656435513713,1.9482799225479546e-18,5.332903413397793e-18,0.0861344930873596,0.016209541409225422,0.04052385352306355,0.2648062921044499,0.7017713802880599,1.0,0.3797206537257341,1.9482799225479546e-18,5.174217385893023e-18,1.1931481479614894,0.6713732405408727,0.7459702672676363,0.1819061484039476,0.9773094653592124,0.999999999999999,0.4015067035500904,1.9482799225479546e-18,6.6935928091045e-18,0.8196217028912912,0.47950012218695337,0.799166870311589,0.09926799171032168,0.9999720779446857,0.9999999999999999,0.38913328767633687,1.9482799225479546e-18,6.787870478293393e-18,0.4472757030044773,0.033894853524689295,0.04842121932098471,None,0.22193915529842226,0.8398096554060224,0.9999999999629186,0.3660671754141894,1.9482799225479546e-18,5.020194606828374e-18
HES4,-0.33405966793331726,0.9999999999508954,0.9999999999999988,0.6213932859992102,1.2536257999470076e-10,1.392917555496675e-10,0.1674560293127909,0.9649652994430334,0.9999999999999998,0.5755265710854709,1.8109341631324532e-11,2.01214907014717e-11,16.74560293127909,4.262977245970935e-08,2.1314886229854674e-07,-0.4639145300204968,0.9999999999999999,0.9999999999999999,0.6814746030025911,4.572465887571398e-10,5.080517652857109e-10,-46.39145300204968,0.04921126810191855,0.07030181157416937,-0.054127216075775315,0.9999999944285284,1.0,0.6414722912545371,1.2820074319231277e-10,1.4244527021368087e-10,-5.412721607577532,2.8461326459483904e-05,0.000284613264594839,-0.4256123772143436,0.999999999999999,0.999999999999999,0.6420667815668619,1.2537776462550856e-10,1.393086273616762e-10,-42.56123772143436,0.6878350244152217,0.802714151223605,0.11574495366326303,0.9993809848778415,0.9999999999999999,0.6453250215603329,1.1940585658866582e-09,1.3267317398740648e-09,11.574495366326301,5.718956823923172e-08,2.859478411961586e-07,Alcohol,0.1674560293127909,0.9649652994430334,0.9999999999629186,0.5755265710854709,1.8109341631324532e-11,2.01214907014717e-11
ISG15,0.015751376169749313,0.9999999800173226,0.9999999999999988,0.4944735883074129,1.817870313746645e-15,2.272337892183306e-15,0.015894670369758997,0.9999999978556976,0.9999999999999998,0.526437408549903,4.721295539921504e-15,5.90161942490188e-15,1.0090972495650814,1.0,1.0,0.18585402866381723,0.9868298639982778,0.9999999999999999,0.5382716180425606,8.093497703921451e-15,1.0116872129901814e-14,11.799224820797049,0.06599205505934735,0.07332450562149706,-0.1684261521388919,0.9999999999997474,1.0,0.5152240819675313,2.5956289993946614e-15,3.2445362492433265e-15,-10.692789653665699,0.016209541409225422,0.04052385352306355,0.1469175413193983,0.9980414052761881,0.999999999999999,0.47622131420165353,1.076353043280938e-15,1.3454413041011725e-15,9.327282882212858,0.06599205505934735,0.1319841101186947,-0.19277708470599692,0.9999999999999994,0.9999999999999999,0.560283217402162,1.8007680827399722e-14,2.250960103424965e-14,-12.23874553108746,0.016209541409225422,0.032419082818450844,None,0.015751376169749313,0.9999999800173226,0.9999999999629186,0.4944735883074129,1.817870313746645e-15,2.272337892183306e-15
C1orf159,-0.3332068289433041,0.999999999971982,0.9999999999999988,13853.322534915069,7.712936354999901e-16,1.1018480507142716e-15,-0.28780833123734173,0.9999999999999974,0.9999999999999998,13147.836599723363,7.295830522540812e-16,1.042261503220116e-15,-28.780833123734173,0.6164300619862452,0.8372493854586608,-0.11629131128036478,0.999999999949796,0.9999999999999999,12796.029781059357,8.620081961934516e-16,1.2314402802763596e-15,-11.629131128036478,0.03339961421164348,0.05566602368607247,-0.33052258688713615,0.9999999999999994,1.0,16065.028179523975,1.4189796351503248e-15,2.027113764500464e-15,-33.052258688713614,0.6134563415904599,0.7459702672676363,-0.3889014711202353,0.9999999999999986,0.999999999999999,13853.333816937879,8.384597423084594e-16,1.1977996318692277e-15,-38.890147112023534,0.809131300862703,0.809131300862703,-0.07272762765208099,0.9999999999629186,0.9999999999999999,12450.986287216163,6.709891977802897e-16,9.585559968289853e-16,-7.272762765208099,3.215000390675612e-05,0.00010716667968918706,Tobacco,-0.07272762765208099,0.9999999999629186,0.9999999999629186,12450.986287216163,6.709891977802897e-16,9.585559968289853e-16
TNFRSF18,0.2355450423292063,0.8867520127871442,0.9999999999999988,0.40293744789844205,2.00807784273135e-18,5.020194606828374e-18,-0.06089278963858083,0.99999976794359,0.9999999999999998,0.43750907095339364,2.00807784273135e-18,5.020194606828374e-18,-0.2585186639312699,0.09165088752693241,0.30550295842310804,0.31156641521495526,0.43214486146258313,0.9999999999999999,0.37994288085148165,2.00807784273135e-18,5.332903413397793e-18,1.322746648089068,0.8249808790799966,0.8249808790799966,0.26413645593997226,0.7005780259364929,1.0,0.38061008699098736,2.0696869543572095e-18,5.174217385893023e-18,1.1213840602546223,0.6454993519139207,0.7459702672676363,0.2458555378385534,0.7645815158156137,0.999999999999999,0.3992662042490442,2.00807784273135e-18,6.6935928091045e-18,1.043772925158564,0.6440701786976428,0.802714151223605,0.009709353305599182,0.9999984370457955,0.9999999999999999,0.4321824267579407,2.7151481913173574e-18,6.787870478293393e-18,0.041220792463248015,0.283096990393943,0.283096990393943,None,0.2355450423292063,0.8867520127871442,0.9999999999629186,0.40293744789844205,2.00807784273135e-18,5.020194606828374e-18
TNFRSF4,-0.2501345629144254,0.9999999999997715,0.9999999999999988,0.4355801379963846,3.779867676618672e-17,6.29977946103112e-17,-0.21232977144855977,0.9999999999999866,0.9999999999999998,0.4675542918528904,3.891337737234509e-17,6.485562895390848e-17,-21.232977144855976,1.0,1.0,0.0923719208448336,0.999940890340079,0.9999999999999999,0.4286306903390825,3.4640105986274376e-17,5.773350997712396e-17,9.23719208448336,0.0006888747885706373,0.0034443739428531863,-0.18937567579875322,0.9999999999999722,1.0,0.4489316765266693,3.779867676618672e-17,6.29977946103112e-17,-18.93756757987532,0.7576694593932631,0.7576694593932631,0.0373809642150358,0.9999948240405049,0.999999999999999,0.44587959676531647,3.891337737234509e-17,6.485562895390848e-17,3.7380964215035797,0.0006167022979869455,0.003083511489934727,-0.3002191171054703,0.9999999999999999,0.9999999999999999,0.4770285177546676,4.6315516892333295e-17,7.719252815388883e-17,-30.021911710547027,0.19262140127839827,0.24077675159799783,Sex,0.0923719208448336,0.999940890340079,0.9999999999629186,0.4286306903390825,3.4640105986274376e-17,5.773350997712396e-17
SDF4,-0.0215616207468673,0.9999999970004284,0.9999999999999988,0.36753212653844325,1.9482799225479546e-18,5.020194606828374e-18,-0.11102471497833839,0.9999999999975353,0.9999999999999998,0.4152926207950254,1.9482799225479546e-18,5.020194606828374e-18,-11.10247149783384,0.6697995083669287,0.8372493854586608,-0.30429009500556176,0.9999999999999996,0.9999999999999999,0.38823311101267827,2.1331613653591172e-18,5.332903413397793e-18,-30.429009500556177,0.00038010281164751396,0.0034443739428531863,0.037670287533960366,0.9999967224259443,1.0,0.37979346004460146,2.00807784273135e-18,5.174217385893023e-18,3.7670287533960365,0.1179228883975527,0.1965381473292545,0.10544082166965167,0.9999974744859873,0.999999999999999,0.3995263879916709,2.97165617151468e-18,7.4291404287867e-18,10.544082166965167,0.0646263879351227,0.1319841101186947,-0.21612305382215258,0.9999999999999996,0.9999999999999999,0.406117283712542,2.1331613653591172e-18,6.787870478293393e-18,-21.612305382215258,0.015674914635002004,0.032419082818450844,None,-0.0215616207468673,0.9999999970004284,0.9999999999629186,0.36753212653844325,1.9482799225479546e-18,5.020194606828374e-18
