gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,-0.47357646995858144,0.9999999999999974,0.9999999999999999,0.403729885267369,3.779867676618672e-17,8.248184779150681e-17,-0.20200922339482433,0.9999999999998481,1.0,0.42406669032280936,3.891337737234509e-17,9.263103378466659e-17,-20.20092233948243,0.0006113095454907016,0.0020376984849690056,-0.23901306806061048,0.9999999999996629,0.9999999999999998,0.4072649607980041,3.779867676618672e-17,8.74112997534717e-17,-23.901306806061047,0.024771052242101355,0.061927630605253386,-0.4822607964914241,1.0,1.0,0.4151767164896682,3.779867676618672e-17,1.0310230973938351e-16,-48.22607964914241,1.0,1.0,-0.32201255296144454,0.9999999999999999,0.9999999999999999,0.44448553529107804,3.891337737234509e-17,8.248184779150681e-17,-32.20125529614445,0.010950270548987995,0.036500901829959985,-0.42682856289190413,1.0,1.0,0.4446430321748271,3.779867676618672e-17,8.012096741807243e-17,-42.68285628919041,0.8815691985510274,0.8815691985510274,Alcohol,-0.20200922339482433,0.9999999999998481,0.9999999999998481,0.42406669032280936,3.891337737234509e-17,7.782675474469018e-17
LINC00115,0.030337445444501364,0.9999772732816895,0.9999999999999999,0.8835607329272017,0.0025105804062231026,0.0025105804062231026,0.15260497385906802,0.9919541132614805,1.0,0.6790007624310432,2.831710332502258e-08,2.831710332502258e-08,5.030251282634858,0.06599205505934735,0.09427436437049623,-0.06019331054565009,0.9999998899784764,0.9999999999999998,0.9354321277012475,0.009427741491495974,0.009427741491495974,-1.9841258769056995,0.3221988061625787,0.46028400880368386,-0.004782322597298858,0.9999958261912267,1.0,0.9184715619953012,0.0051080369203256966,0.0051080369203256966,-0.15763761672180115,0.887537083981715,0.986152315535239,-0.16671843630833816,0.9999999999998441,0.9999999999999999,1.0264509565679907,0.017678113109798256,0.017678113109798256,-5.4954671979000045,0.06599205505934735,0.12469520916243207,0.3230251467757678,0.5191962904934617,1.0,0.6586673194373973,2.7757397597063653e-07,2.7757397597063653e-07,10.64773721197794,0.0001343327399405244,0.000335831849851311,Tobacco,0.3230251467757678,0.5191962904934617,0.8653271508224363,0.6586673194373973,2.7757397597063653e-07,2.7757397597063653e-07
FAM41C,0.0927083255950257,0.9998709102313191,0.9999999999999999,0.4281561663501157,4.1240923895753404e-17,8.248184779150681e-17,0.40000108040241994,0.0002172324826407476,0.002172324826407476,0.3395298813536407,3.453336137703006e-18,1.726668068851503e-17,4.314618755490522,5.671703377350873e-08,2.8358516886754365e-07,-0.0046717077083580204,0.9999999306067132,0.9999999999999998,0.4397909387965647,4.370564987673585e-17,8.74112997534717e-17,-0.050391458138994615,0.39134127791494155,0.4891765973936769,0.2765484168258781,0.49862830954883647,1.0,0.4117885329335108,4.1240923895753404e-17,1.0310230973938351e-16,2.9829944080094184,0.027103200138601034,0.16044366989115627,-0.20147867584532178,0.999999999999975,0.9999999999999999,0.44630444584817314,4.1240923895753404e-17,8.248184779150681e-17,-2.1732533141137025,3.445446702711986e-05,0.00017227233513559926,-0.2237678622069759,0.9999999999999869,1.0,0.46219165923827504,4.006048370903621e-17,8.012096741807243e-17,-2.413676018532064,1.3893031402110518e-05,6.946515701055259e-05,Alcohol,0.40000108040241994,0.0002172324826407476,0.001086162413203738,0.3395298813536407,3.453336137703006e-18,1.726668068851503e-17
NOC2L,0.19983584683734767,0.9697940858022329,0.9999999999999999,0.36120928136240243,2.556415870468249e-18,2.556415870468249e-17,-0.2968837808905527,0.999999999999967,1.0,0.4307043280947054,3.155803020775513e-18,1.726668068851503e-17,-1.4856382655520017,4.8107538958887785e-08,2.8358516886754365e-07,0.01717883284082962,0.9999999931330702,0.9999999999999998,0.3815915216895792,4.522222934039007e-18,4.522222934039007e-17,0.08596472110838042,0.01933487355739763,0.061927630605253386,0.1998475522097765,0.924672223483689,1.0,0.3778800343464937,1.5264104896765833e-17,1.0310230973938351e-16,1.0000585749384512,0.43530538595711454,0.8706107719142291,0.13375032522197006,0.9980520483784836,0.9999999999999999,0.3529138437566235,2.4068509115736995e-18,2.4068509115736992e-17,0.6693009654610838,0.7762052970938843,0.8624503301043158,0.03450930795830736,0.999940890340079,1.0,0.39359095047026904,2.1985567770909467e-18,2.1985567770909467e-17,0.17268827642517767,0.25550882029402516,0.3193860253675314,None,0.19983584683734767,0.9697940858022329,0.9999999999998481,0.36120928136240243,2.556415870468249e-18,1.726668068851503e-17
PLEKHN1,-0.321700898516815,0.9999999999999999,0.9999999999999999,18474.188048767228,7.592834660610023e-14,9.491043325762529e-14,-0.4741009924726889,1.0,1.0,20371.754605534123,3.62645417102471e-12,4.029393523360789e-12,-47.41009924726889,0.0066418854764266145,0.013283770952853229,0.30010234125503077,0.29656028927272016,0.9999999999999998,11108.581521251297,4.287862063763419e-14,5.359827579704274e-14,30.010234125503075,1.9951600984380846e-13,1.9951600984380845e-12,-0.40813453986403075,1.0,1.0,18471.202751948862,1.1173584152037344e-13,1.2415093502263715e-13,-40.813453986403076,0.4334063013303323,0.8706107719142291,-0.1152683864496358,0.9999999999804063,0.9999999999999999,18497.21171838657,4.979013569148369e-13,5.532237299053744e-13,-11.52683864496358,0.07481712549745924,0.12469520916243207,0.10450429490011065,0.999876731356164,1.0,16892.91419318131,9.826281410311312e-14,1.4037544871873303e-13,10.450429490011064,5.733031437583875e-07,5.733031437583875e-06,Sex,0.30010234125503077,0.29656028927272016,0.5931205785454403,11108.581521251297,4.287862063763419e-14,5.359827579704274e-14
HES4,0.15108517896260812,0.9908302364075231,0.9999999999999999,0.4874126565089979,1.2449561931230706e-12,1.383284659025634e-12,0.0008961066417974873,0.999999331873923,1.0,0.5028070992562947,3.4183838525208596e-13,4.883405503601228e-13,0.005931135323467192,0.033894853524689295,0.05649142254114883,-0.21256322145174894,0.9999999999999485,0.9999999999999998,0.5283096407315527,1.0225452613160121e-12,1.1361614014622357e-12,-1.406909816775317,1.1648657367199604e-05,5.824328683599802e-05,0.15431129773580546,0.9925403891135761,1.0,0.46023814097123245,5.260632728311564e-15,7.515189611873664e-15,1.0213529797915901,0.887537083981715,0.986152315535239,0.03246275074647752,0.9999987851588706,0.9999999999999999,0.5012353684475547,2.282228248793044e-13,2.852785310991305e-13,0.2148638997509589,0.06599205505934735,0.12469520916243207,0.04960751935857866,0.9999973474011163,1.0,0.5498228957531515,5.234002117991458e-13,6.542502647489321e-13,0.32834140118307675,0.20309178757716426,0.29013112511023464,None,0.15108517896260812,0.9908302364075231,0.9999999999998481,0.4874126565089979,1.2449561931230706e-12,1.383284659025634e-12
ISG15,0.3862321799465829,0.01152114576277038,0.1152114576277038,0.36055670226977343,3.779867676618672e-17,8.248184779150681e-17,0.20854483690627995,0.9037339748296467,1.0,0.4110769519591301,3.779867676618672e-17,9.263103378466659e-17,0.5399468188671445,0.20309178757716426,0.2538647344714553,0.26769991320582354,0.6149551672073723,0.9999999999999998,0.3952655886788465,3.779867676618672e-17,8.74112997534717e-17,0.6931061861361404,0.20309178757716426,0.3384863126286071,0.3397347743507536,0.07532777651631091,0.7532777651631091,0.3736354275243636,3.779867676618672e-17,1.0310230973938351e-16,0.8796128131988898,0.6713732405408727,0.986152315535239,0.3293717202953279,0.16271492213124134,0.8135746106562066,0.36615733268688466,3.779867676618672e-17,8.248184779150681e-17,0.8527816619031616,0.887537083981715,0.887537083981715,0.285954789728583,0.42770063787078255,1.0,0.4218822807208211,3.779867676618672e-17,8.012096741807243e-17,0.7403701829509168,0.20309178757716426,0.29013112511023464,None,0.3862321799465829,0.01152114576277038,0.0384038192092346,0.36055670226977343,3.779867676618672e-17,7.782675474469018e-17
AGRN,0.3366249262184165,0.049783380589852315,0.24891690294926155,0.513665206119342,1.0864647185326493e-14,1.6372035451906376e-14,0.28595473882848155,0.42365719468223273,1.0,0.5403771490368419,8.638924532675321e-14,1.439820755445887e-13,0.8494758306844515,0.47950012218695337,0.47950012218695337,0.38111478272890315,0.009603233084384374,0.09603233084384373,0.5091075665182644,1.0299361981849564e-14,1.7165603303082607e-14,1.1321644745987103,0.6713732405408727,0.6713732405408727,0.2652546419689117,0.6306281628050623,1.0,0.5470375090391341,1.5358802267601718e-14,1.9198502834502145e-14,0.7879827704642504,0.20309178757716426,0.6769726252572142,0.19683371955366785,0.9806062045662157,0.9999999999999999,0.5384578574462111,1.6631457340878192e-14,2.7719095568130322e-14,0.5847271078967985,0.20309178757716426,0.2538647344714553,0.08227388540842931,0.9999939834570931,1.0,0.547621008052791,3.665716316939986e-14,6.109527194899977e-14,0.24440817955069236,4.109787809945878e-05,0.00013699292699819596,None,0.3366249262184165,0.049783380589852315,0.12445845147463078,0.513665206119342,1.0864647185326493e-14,1.552092455046642e-14
C1orf159,-0.22347703776839836,0.9999999999999826,0.9999999999999999,0.4970813206688729,1.1460424816334462e-14,1.6372035451906376e-14,-0.4455170416295642,1.0,1.0,0.5737150023867704,1.2449561931230706e-12,1.5561952414038382e-12,-44.55170416295642,0.002694262019295917,0.0067356550482397925,-0.31362073165978194,0.9999999999999998,0.9999999999999998,0.5089647982272697,2.1104560505476344e-14,3.0149372150680494e-14,-31.36207316597819,0.47048642205878954,0.5227626911764328,-0.00430805355529558,0.9999999416078207,1.0,0.5252008691965738,8.384996296996777e-16,1.3974993828327962e-15,-0.430805355529558,0.032088733978231254,0.16044366989115627,-0.35412730068071185,0.9999999999999998,0.9999999999999999,0.5181004681262736,7.592834660610023e-14,1.0846906658014319e-13,-35.412730068071184,0.1333836708895191,0.1905481012707416,-0.13373483507553627,0.9999999999041066,1.0,0.5809158501441796,5.8521628955664654e-12,6.5024032172960724e-12,-13.373483507553626,0.19844930359200866,0.29013112511023464,Age,-0.00430805355529558,0.9999999416078207,0.9999999999998481,0.5252008691965738,8.384996296996777e-16,1.3974993828327962e-15
TNFRSF18,0.07339172883887357,0.9999155605344446,0.9999999999999999,0.402988198370034,3.891337737234509e-17,8.248184779150681e-17,0.20285305891019803,0.8835846437606429,1.0,0.40796037180512124,4.6315516892333295e-17,9.263103378466659e-17,2.763977114581233,0.3221988061625787,0.3579986735139763,-0.08451470297055735,0.9999999999501776,0.9999999999999998,0.4247912501719521,4.1240923895753404e-17,8.74112997534717e-17,-1.1515562353913682,0.06599205505934735,0.1319841101186947,0.018591046945498492,0.9999999910921809,1.0,0.44116585750591986,5.20048193962849e-17,1.040096387925698e-16,0.2533125631406482,0.887537083981715,0.986152315535239,0.4845638197524863,1.7382159658722173e-07,1.7382159658722173e-06,0.3764089815420171,6.664850253937553e-18,3.3324251269687765e-17,6.6024309199244025,3.0577097964381603e-06,3.0577097964381604e-05,0.19506109377087832,0.927559016804933,1.0,0.4077829586123328,4.006048370903621e-17,8.012096741807243e-17,2.6578075875432963,0.47950012218695337,0.5327779135410593,HPV,0.4845638197524863,1.7382159658722173e-07,1.7382159658722173e-06,0.3764089815420171,6.664850253937553e-18,2.2216167513125176e-17
