gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,0.16511349107639972,0.9891849376225579,0.9999999999999998,0.5638552617868884,6.591135486852118e-12,6.591135486852118e-12,0.06621331873320248,0.9999982141206623,0.9999999999999981,0.6189744516110988,6.449762422257215e-10,6.449762422257215e-10,0.40101701139954027,0.06599205505934735,0.08249006882418419,0.3245246172577799,0.051939986285804776,0.5193998628580477,0.5941277687713492,3.763326093676265e-10,3.763326093676265e-10,1.9654639674938434,0.007209570764742524,0.01802392691185631,0.131694543104089,0.9981046271433566,0.9999999999999999,0.5833667494762745,8.571596554409816e-11,8.571596554409816e-11,0.7976001370060826,0.6713732405408727,0.9040861829192393,0.31771538506087044,0.2372515178070299,0.7908383926900997,0.5361725595979113,3.0908396639812604e-13,3.0908396639812604e-13,1.9242242592633465,0.016209541409225422,0.05403180469741808,0.2587639001990194,0.7755927403069502,1.0,0.65485174793144,6.085829685976823e-09,6.085829685976823e-09,1.5671881111113244,0.5236996097529649,0.5818884552810721,Sex,0.3245246172577799,0.051939986285804776,0.17313328761934926,0.5941277687713492,3.763326093676265e-10,3.763326093676265e-10
LINC00115,-0.2557067850632118,0.999999999999996,0.9999999999999998,25328.628775173394,1.1460424816334462e-14,1.2733805351482734e-14,0.16224228883902764,0.9965484629095441,0.9999999999999981,38004.4009767055,1.8986759021541904e-14,2.1096398912824336e-14,16.224228883902764,0.0009641291945545174,0.0024103229863862933,-0.38025534141135914,1.0,1.0,25328.651535627312,1.7536934428916788e-14,1.9485482698796432e-14,-38.025534141135914,0.18410094151324236,0.3682018830264847,-0.37134771191285476,0.9999999999999999,0.9999999999999999,25687.186628065487,1.577199829708591e-14,1.7524442552317677e-14,-37.13477119128547,0.1862561893567851,0.3384863126286071,-0.3461196390621415,0.9999999999999999,1.0,25974.97230642929,1.8490848397010218e-14,2.054538710778913e-14,-34.61196390621415,0.1862561893567851,0.3104269822613085,0.1441859116151014,0.9921384525401432,1.0,24361.87511772888,1.4564093032985185e-14,1.820511629123148e-14,14.418591161510138,4.216519190504749e-07,2.108259595252374e-06,Alcohol,0.16224228883902764,0.9965484629095441,0.9999741800777818,38004.4009767055,1.8986759021541904e-14,2.1096398912824336e-14
FAM41C,-0.03763582091660174,0.999999996090058,0.9999999999999998,0.4392930410474257,1.687024060413498e-16,2.410034372019283e-16,0.16531115603887733,0.992819157112498,0.9999999999999981,0.4373447083846398,6.710534756447997e-16,9.58647822349714e-16,16.531115603887734,0.004926820477079572,0.009853640954159144,-0.10760796256572057,0.9999999999991931,1.0,0.46833875956804094,7.931344255433276e-16,1.133049179347611e-15,-10.760796256572057,0.563512337548812,0.7120894769849578,-0.23798362497052042,0.9999999999999976,0.9999999999999999,0.4538654392798701,2.0007789655506545e-16,2.500973706938318e-16,-23.798362497052043,0.0014881826385623996,0.0049606087952079984,-0.13098759209439317,0.9999999999944201,1.0,0.4862500500691738,9.254203766495573e-15,1.1567754708119465e-14,-13.098759209439317,0.22174681228750265,0.3167811604107181,-0.3540178373551097,1.0,1.0,0.4789806006447661,2.5100711690792423e-16,4.183451948465404e-16,-35.401783735510975,2.8780939543389507e-06,9.59364651446317e-06,Alcohol,0.16531115603887733,0.992819157112498,0.9999741800777818,0.4373447083846398,6.710534756447997e-16,8.388168445559996e-16
NOC2L,-0.23210388434577797,0.9999999999999991,0.9999999999999998,0.4187221739918607,3.558538768609991e-18,7.117077537219983e-18,0.4077706917043232,0.004137559411162118,0.04137559411162118,0.40502789962499497,2.7981239507340175e-18,1.1170681781029994e-17,40.77706917043232,2.8348539163579436e-13,2.8348539163579433e-12,-0.32991229636275976,0.9999999999999999,1.0,0.4366833511333884,3.77852402453971e-18,7.55704804907942e-18,-32.991229636275975,0.225668319096665,0.37611386516110834,-0.20876714619895714,0.9999999999998697,0.9999999999999999,0.4352677111163009,2.97165617151468e-18,6.111505816043185e-18,-20.876714619895715,0.9437688946116793,0.9437688946116793,-0.3798198847709667,0.9999999999999998,1.0,0.4603187004333052,2.664486194837423e-17,4.440810324729038e-17,-37.981988477096664,0.0033080723907353412,0.016540361953676704,-0.06428215127068736,0.9999999993268279,1.0,0.4855806822867425,2.1084633651411257e-17,4.2169267302822515e-17,-6.428215127068736,0.28746240864437456,0.35932801080546817,Alcohol,0.4077706917043232,0.004137559411162118,0.04137559411162118,0.40502789962499497,2.7981239507340175e-18,5.94331234302936e-18
PLEKHN1,0.02752217395026272,0.9999741800777818,0.9999999999999998,0.41315520715347476,2.7151481913173574e-18,7.117077537219983e-18,-0.03205559862473158,0.9999999989479647,0.9999999999999981,0.47653553045480634,2.241212708508074e-16,3.735354514180123e-16,-1.1647189892288863,0.1310393108620914,0.14559923429121266,-0.03330019477990742,0.9999999976703619,1.0,0.44402557305235135,2.883601807908569e-18,7.55704804907942e-18,-1.2099405679248512,0.7206896950286259,0.8007663278095843,0.08334155866345717,0.9999833804543287,0.9999999999999999,0.4295587234845024,2.556415870468249e-18,6.111505816043185e-18,3.0281604503361415,0.8268819686297368,0.9187577429219298,-0.05858817079117691,0.9999999999661118,1.0,0.44902227208684126,3.155803020775513e-18,7.889507551938782e-18,-2.128762462480463,0.34768581789428943,0.4346072723678618,0.06721655562356893,0.999986991941506,1.0,0.5200834697299886,1.4435124092515607e-13,1.6039026769461785e-13,2.4422691225279207,1.0,1.0,None,0.02752217395026272,0.9999741800777818,0.9999741800777818,0.41315520715347476,2.7151481913173574e-18,5.94331234302936e-18
HES4,-0.2695289880096595,0.9999999999999998,0.9999999999999998,0.43823172197448423,4.800885371721451e-18,8.001475619535753e-18,-0.006418074484724825,0.99999984972678,0.9999999999999981,0.465908811276056,6.469400084126466e-18,1.6173500210316164e-17,-0.6418074484724825,2.608482309387108e-05,8.69494103129036e-05,-0.28810699153292957,1.0,1.0,0.4801450417705769,7.073395820244489e-18,1.1788993033740815e-17,-28.810699153292955,1.0,1.0,0.11400164556964282,0.9999642540288959,0.9999999999999999,0.4299132525412772,3.6669034896259105e-18,6.111505816043185e-18,11.400164556964281,3.311660277948052e-09,1.655830138974026e-08,0.3484661001192113,0.020900881937794935,0.20900881937794935,0.43249403717334756,2.97165617151468e-18,7.889507551938782e-18,34.84661001192113,2.49446471466316e-16,2.4944647146631598e-15,0.0740023840220716,0.9999869500058498,1.0,0.4465969537331667,2.7151481913173574e-18,9.050493971057858e-18,7.40023840220716,4.1864672838045157e-07,2.108259595252374e-06,HPV,0.3484661001192113,0.020900881937794935,0.10450440968897468,0.43249403717334756,2.97165617151468e-18,5.94331234302936e-18
ISG15,0.30422023838694123,0.31512838384529873,0.9999999999999998,0.39783158509097727,1.9482799225479546e-18,7.117077537219983e-18,0.3576614781248438,0.04248037494760795,0.21240187473803976,0.42003759534272317,3.351204534308998e-18,1.1170681781029994e-17,1.1756662870993153,1.0,1.0,0.09468204671513757,0.9995684707633233,1.0,0.40966785154264235,2.1985567770909467e-18,7.55704804907942e-18,0.31122862573893056,0.002979466656332983,0.009931555521109943,0.2543556785708483,0.7669761886204327,0.9999999999999999,0.4193581192407232,2.335341653948903e-18,6.111505816043185e-18,0.8360905898947143,0.20309178757716426,0.3384863126286071,0.33569153719530265,0.08612417360390662,0.4306208680195331,0.39778734353671963,1.9482799225479546e-18,7.889507551938782e-18,1.1034490636626637,0.887537083981715,0.887537083981715,0.209001270305259,0.896501355126037,1.0,0.4199966803885561,2.0696869543572095e-18,9.050493971057858e-18,0.6870064641768766,0.033894853524689295,0.04842121932098471,None,0.30422023838694123,0.31512838384529873,0.6302567676905975,0.39783158509097727,1.9482799225479546e-18,5.94331234302936e-18
C1orf159,-0.32405152233436735,0.9999999999999997,0.9999999999999998,20150.356336338446,1.458647927568674e-15,1.8233099094608424e-15,-0.20685521633566217,0.9999999999999981,0.9999999999999981,17079.233349822523,7.26913962613406e-15,9.086424532667575e-15,-20.685521633566218,0.04660488845237352,0.06657841207481932,-0.36305892366730097,0.9999999999999999,1.0,23727.354570955125,1.9739406418780508e-15,2.467425802347563e-15,-36.3058923667301,0.5696715815879663,0.7120894769849578,0.2608379129396584,0.6686854615544889,0.9999999999999999,12412.367027987368,6.185392210909508e-17,8.836274587013583e-17,26.08379129396584,1.1885852395646684e-12,1.1885852395646683e-11,-0.40536220385412786,1.0,1.0,21618.548121380805,2.085241014965403e-15,2.9789157356648617e-15,-40.53622038541278,0.5696715815879663,0.6329684239866292,-0.037452036058085045,0.9999999993861917,1.0,13642.254788335153,1.002767125753043e-14,1.43252446536149e-14,-3.7452036058085043,0.0002194725490576865,0.0005486813726442162,Age,0.2608379129396584,0.6686854615544889,0.9999741800777818,12412.367027987368,6.185392210909508e-17,8.836274587013583e-17
TTLL10,-0.08296105084070413,0.9999999999970727,0.9999999999999998,0.4358933713903406,3.062363631243675e-18,7.117077537219983e-18,-0.14766058588209735,0.9999999999993117,0.9999999999999981,0.48859819413182054,8.453158325625765e-18,1.690631665125153e-17,-14.766058588209734,0.012416070012216125,0.02069345002036021,-0.27256488017165376,0.9999999999999999,1.0,0.4579931388159638,3.6669034896259105e-18,7.55704804907942e-18,-27.256488017165374,0.0006380414760930324,0.006380414760930324,0.10957441965479524,0.9947379159534501,0.9999999999999999,0.43941731759513497,3.351204534308998e-18,6.111505816043185e-18,10.957441965479523,0.027386490277027574,0.06846622569256892,0.11948638581118129,0.9975160773178945,1.0,0.44705323734860036,6.866125121302437e-18,1.3732250242604873e-17,11.948638581118129,0.027386490277027574,0.06846622569256892,-0.2147564158484513,0.9999999999999993,1.0,0.46290469499603726,8.453158325625765e-18,2.113289581406441e-17,-21.47564158484513,0.010038900954344017,0.016731501590573364,HPV,0.11948638581118129,0.9975160773178945,0.9999741800777818,0.44705323734860036,6.866125121302437e-18,1.1443541868837395e-17
TNFRSF18,-0.10339252640777569,0.9999999999995131,0.9999999999999998,0.3787159476308144,2.00807784273135e-18,7.117077537219983e-18,0.35864196493514755,0.07982126100694731,0.2660708700231577,0.34677599366129636,2.00807784273135e-18,1.1170681781029994e-17,35.864196493514754,1.0543440461140466e-07,5.271720230570233e-07,-0.3206144671550628,1.0,1.0,0.4154112134150784,2.4068509115736995e-18,7.55704804907942e-18,-32.06144671550628,0.0014242560648809004,0.007121280324404501,-0.14953111289557453,0.999999999999967,0.9999999999999999,0.39854778780815414,2.1331613653591172e-18,6.111505816043185e-18,-14.953111289557452,0.7232689463353914,0.9040861829192393,0.04835273011076252,0.9999960223612262,1.0,0.3972248203147678,2.00807784273135e-18,7.889507551938782e-18,4.835273011076252,0.1778950507826987,0.3104269822613085,0.2165795142564965,0.8406454605335935,1.0,0.3750056316399799,2.00807784273135e-18,9.050493971057858e-18,21.65795142564965,0.0002994889234435504,0.0005989778468871008,Alcohol,0.35864196493514755,0.07982126100694731,0.19955315251736827,0.34677599366129636,2.00807784273135e-18,5.94331234302936e-18
