gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
NOC2L,-0.041199947252624325,0.99999998940018,1.0,211789.22795811694,5.353159675206607e-17,6.691449594008259e-17,-0.1786960090755905,0.9999999999999647,1.0,208936.5661583317,5.836151715484275e-16,7.295189644355344e-16,-17.86960090755905,0.25550882029402516,0.28389868921558353,0.039518128084994504,0.9999958462081296,1.0,188192.10864809732,4.370564987673585e-17,6.243664268105122e-17,3.9518128084994504,0.08808151166219025,0.17113561489416992,0.16917945827221778,0.9897631704922698,1.0,243405.4501659663,6.171546109600035e-16,7.714432637000043e-16,16.91794582722178,0.010515245935858921,0.021030491871717842,0.26319244694212923,0.7176578731560002,1.0,166752.09705617206,3.779867676618672e-17,4.7248345957733394e-17,26.319244694212923,6.898873415036532e-05,0.0001724718353759133,-0.35215778184292995,1.0,1.0,242574.81009971327,3.941739306838874e-16,4.927174133548592e-16,-35.215778184292994,0.004473649256611767,0.007456082094352946,HPV,0.26319244694212923,0.7176578731560002,0.9999999999999996,166752.09705617206,3.779867676618672e-17,6.29977946103112e-17
ISG15,-0.13338850820046796,0.9999999992697776,1.0,0.45722414527168054,2.4805208541325787e-18,5.259671701292522e-18,-0.0047460601543958866,0.9999998197565254,1.0,0.46799354719595093,3.558538768609991e-18,7.117077537219983e-18,-0.47460601543958864,0.10292742492377971,0.14703917846254244,-0.18569720226603958,0.9999999999956061,1.0,0.4849489160856415,3.252055482538389e-18,8.896346921524978e-18,-18.56972022660396,0.9437688946116793,0.9437688946116793,-0.18061759233968322,0.9999999999930883,1.0,0.47268398726432914,2.556415870468249e-18,8.521386234894164e-18,-18.06175923396832,0.9437688946116793,0.9437688946116793,-0.1352294953416296,0.9999999999267795,1.0,0.47051189004612487,4.522222934039007e-18,6.6564265968524335e-18,-13.522949534162958,1.0,1.0,-0.22632851018778602,0.9999999999999414,1.0,0.5009954540110193,6.279608294570544e-18,1.0466013824284241e-17,-22.632851018778602,0.3569394374382988,0.3965993749314431,None,-0.13338850820046796,0.9999999992697776,0.9999999999999996,0.45722414527168054,2.4805208541325787e-18,6.58650560193299e-18
SDF4,-0.22148953162685892,0.9999999999999948,1.0,0.43009726696332284,3.155803020775513e-18,5.259671701292522e-18,-0.44750252050084893,1.0,1.0,0.47129924080287294,8.206031284629088e-18,1.3676718807715147e-17,-44.75025205008489,0.0036592926255339395,0.009148231563834848,-0.38596072352774685,1.0,1.0,0.4501318101912136,3.558538768609991e-18,8.896346921524978e-18,-38.596072352774684,0.022957511791199228,0.07652503930399743,0.31286270533615207,0.18659172088862835,1.0,0.44012627074196525,5.9163578726673074e-18,1.078233347354411e-17,31.286270533615205,1.1086685105596245e-10,1.1086685105596245e-09,0.07058932509073142,0.999999438235024,1.0,0.4317644329488173,3.252055482538389e-18,6.504110965076778e-18,7.058932509073141,2.8786346216468433e-05,9.595448738822811e-05,-0.4486933472074945,1.0,1.0,0.4675151750132943,5.096481202272684e-18,1.0192962404545369e-17,-44.86933472074945,0.0014242560648809004,0.0035606401622022507,Age,0.31286270533615207,0.18659172088862835,0.3731834417772567,0.44012627074196525,5.9163578726673074e-18,1.1832715745334615e-17
UBE2J2,-0.30060683424261925,1.0,1.0,0.39890309633879734,1.9482799225479546e-18,5.259671701292522e-18,0.03298050995742275,0.9999935923197067,1.0,0.3822498600993383,1.9482799225479546e-18,6.017127278934248e-18,3.298050995742275,0.0009525186982954563,0.003175062327651521,-0.3722583670238853,1.0,1.0,0.4176179344304699,1.9482799225479546e-18,8.896346921524978e-18,-37.225836702388534,0.11404643989805838,0.17113561489416992,-0.47400463881882243,1.0,1.0,0.42449146019555944,1.9482799225479546e-18,8.521386234894164e-18,-47.400463881882246,0.0007184238586819271,0.0035921192934096355,0.36505797934863793,0.06559515440569143,0.3279757720284571,0.3665412626210328,1.9482799225479546e-18,6.504110965076778e-18,36.50579793486379,2.359274992132709e-13,1.1796374960663545e-12,-0.21719921331359782,0.9999999999999815,1.0,0.401315806562823,1.9482799225479546e-18,7.4291404287867e-18,-21.71992133135978,0.8857686777529699,0.8857686777529699,HPV,0.36505797934863793,0.06559515440569143,0.16398788601422856,0.3665412626210328,1.9482799225479546e-18,6.58650560193299e-18
AURKAIP1,0.27382602326640965,0.521936025183391,1.0,0.38855102219274157,2.00807784273135e-18,5.259671701292522e-18,0.005442710933556177,0.9999992716763522,1.0,0.41419531347201416,2.4068509115736995e-18,6.017127278934248e-18,0.019876529150265887,0.007209570764742524,0.01395813475051873,0.3336442851412069,0.03579770866723197,0.35797708667231964,0.39617734038614555,2.265930530554773e-18,8.896346921524978e-18,1.2184535317762664,0.6713732405408727,0.7459702672676363,0.04210410689322493,0.9999991643733083,1.0,0.40634392290247895,2.1331613653591172e-18,8.521386234894164e-18,0.1537622552852151,0.0011431765973566508,0.003810588657855503,0.16782582194881254,0.9969632184932725,1.0,0.409897780922277,2.1331613653591172e-18,6.504110965076778e-18,0.6128921566579235,0.20309178757716426,0.2538647344714553,0.06648208922996322,0.9999988255213444,1.0,0.41677580249460866,2.97165617151468e-18,7.4291404287867e-18,0.24278952174418336,0.002979466656332983,0.005958933312665966,None,0.27382602326640965,0.521936025183391,0.8698933753056517,0.38855102219274157,2.00807784273135e-18,6.58650560193299e-18
CCNL2,-0.29273668250308765,1.0,1.0,0.4806736758864865,1.768597677516526e-15,1.8684939085520097e-15,-0.3361232406768525,1.0,1.0,0.5012235964634149,2.667507520965455e-15,2.9638972455171725e-15,-33.61232406768525,0.11979493042591895,0.14974366303239867,-0.33352382659155694,1.0,1.0,0.5243944304764339,5.120370275479532e-15,5.689300306088369e-15,-33.352382659155694,0.11979493042591895,0.17113561489416992,-0.3694321416465094,1.0,1.0,0.5000953134911924,2.1431854696086454e-15,2.3813171884540503e-15,-36.94321416465094,0.11979493042591895,0.17113561489416992,-0.18828940777931355,0.9999999999999996,1.0,0.5052985715999907,2.667507520965455e-15,2.9638972455171725e-15,-18.828940777931354,0.016209541409225422,0.031257887991335026,-0.21217175354987583,0.9999999999999593,1.0,0.5272803922255817,1.5987126056669037e-13,1.5987126056669037e-13,-21.21717535498758,0.3221988061625787,0.3965993749314431,HPV,-0.18828940777931355,0.9999999999999996,0.9999999999999996,0.5052985715999907,2.667507520965455e-15,2.667507520965455e-15
MRPL20,-0.27454467539108807,1.0,1.0,0.402501236947268,5.410024584632045e-18,7.72860654947435e-18,0.3444796057172589,0.01282491286709849,0.06412456433549245,0.38393352677639586,2.1331613653591172e-18,6.017127278934248e-18,34.447960571725886,3.400839790107361e-19,3.4008397901073608e-18,-0.437797666716816,1.0,1.0,0.43778363931735703,3.779867676618672e-17,6.243664268105122e-17,-43.7797666716816,0.0002797851725294508,0.0014974446172177519,-0.34915625785661214,1.0,1.0,0.4283904806706464,6.469400084126466e-18,1.078233347354411e-17,-34.91562578566121,0.015674914635002004,0.02612485772500334,0.3663705301949908,0.03167725006137248,0.3167725006137248,0.3819507135355152,2.634602240773196e-18,6.504110965076778e-18,36.63705301949908,5.404491816092822e-16,5.4044918160928225e-15,0.2914016382077309,0.31880233499681865,1.0,0.3918370990246751,2.265930530554773e-18,7.4291404287867e-18,29.14016382077309,5.377225378534948e-15,5.3772253785349476e-14,HPV,0.3663705301949908,0.03167725006137248,0.10559083353790827,0.3819507135355152,2.634602240773196e-18,6.58650560193299e-18
SSU72,-0.18768509726546484,0.999999999999834,1.0,0.3638019868901214,2.00807784273135e-18,5.259671701292522e-18,-0.16926653282377382,0.9999999999999548,1.0,0.4145278288252361,2.265930530554773e-18,6.017127278934248e-18,-16.926653282377384,0.8313067122654382,0.8313067122654382,0.09953633271685053,0.9999667477473783,1.0,0.40565308621872115,6.009328767633683e-17,7.511660959542103e-17,9.953633271685053,0.0002994889234435504,0.0014974446172177519,0.08419148986726428,0.9999932831680253,1.0,0.41299104074579446,3.891337737234509e-17,5.559053910335014e-17,8.419148986726428,0.0022989324995997366,0.005747331248999342,-0.3294308341897775,1.0,1.0,0.37841393860768624,2.00807784273135e-18,6.504110965076778e-18,-32.94308341897775,0.07641256395532975,0.10916080565047108,-0.3767271345992498,1.0,1.0,0.4048698928724119,2.00807784273135e-18,7.4291404287867e-18,-37.67271345992498,0.01933487355739763,0.027621247939139473,Sex,0.09953633271685053,0.9999667477473783,0.9999999999999996,0.40565308621872115,6.009328767633683e-17,8.430837142557092e-17
MIB2,-0.35876942780773013,0.9999999999999994,1.0,133553.13214246457,1.8684939085520097e-15,1.8684939085520097e-15,-0.1199868701774884,0.9999999999746261,1.0,158443.69107058263,1.5358802267601718e-14,1.5358802267601718e-14,-11.99868701774884,0.008374880850311238,0.01395813475051873,-0.5251747263828856,1.0,1.0,130872.00574710354,2.724473091568383e-13,2.724473091568383e-13,-52.51747263828857,0.17593836269031318,0.21992295336289147,-0.4897732551913731,1.0,1.0,161559.32543250642,8.539501837154937e-15,8.539501837154937e-15,-48.97732551913731,0.2853529141182104,0.35669114264776297,-0.3810329015587538,0.9999999999999997,1.0,132784.28192451666,3.317629357394655e-15,3.317629357394655e-15,-38.10329015587538,0.9429118396935412,1.0,0.36946869643308455,0.02723062811527695,0.2723062811527695,101770.53379552346,1.1065719366805459e-15,1.2295243740894955e-15,36.94686964330845,7.348201119027592e-14,3.6741005595137955e-13,Tobacco,0.36946869643308455,0.02723062811527695,0.10559083353790827,101770.53379552346,1.1065719366805459e-15,1.2295243740894955e-15
CDK11B,-0.11448851425701131,0.9999999994723249,1.0,0.4456624369460787,2.883601807908569e-18,5.259671701292522e-18,0.6278988100311159,3.805014065303044e-12,3.805014065303044e-11,0.3412906300986528,6.744669714045674e-17,9.635242448636678e-17,62.78988100311159,2.430869019970423e-14,1.2154345099852113e-13,-0.2274561043808545,0.9999999999999536,1.0,0.48857447444258667,5.096481202272684e-18,1.0192962404545369e-17,-22.74561043808545,0.0388903145800342,0.0972257864500855,0.057899967367828535,0.9999896241802639,1.0,0.45172022379752846,6.09531325108971e-18,1.078233347354411e-17,5.789996736782854,0.432510056921829,0.4805667299131433,-0.28582481875009724,0.9999999999999999,1.0,0.46637112348628784,4.659498617796703e-18,6.6564265968524335e-18,-28.582481875009723,0.018754732794801016,0.031257887991335026,0.2206577025921411,0.8724576137484975,1.0,0.4425925999320663,2.171149459506214e-17,3.1016420850088776e-17,22.06577025921411,8.84836591760477e-05,0.0002949455305868257,Alcohol,0.6278988100311159,3.805014065303044e-12,3.805014065303044e-11,0.3412906300986528,6.744669714045674e-17,8.430837142557092e-17
