gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,-0.12828821661196618,0.9999999999991392,0.999999999999994,0.4378184680278751,6.009328767633683e-17,1.6861674285114184e-16,-0.2366292912151177,0.9999999999999988,0.9999999999999988,0.47303796992958974,6.009328767633683e-17,2.0031095892112278e-16,-23.66292912151177,0.05435038931582118,0.07764341330831598,0.17249254959317986,0.9869057076120457,0.9999999999999993,0.4322296694586764,6.009328767633683e-17,2.0031095892112278e-16,17.249254959317987,0.060551379550798146,0.0865019707868545,-0.08266211194239091,0.9999999999942006,0.9999999999999999,0.45392000671653965,9.255786239856631e-17,2.4506363529069497e-16,-8.26621119423909,0.5005433176712402,0.5561592418569336,-0.2825779857737526,0.9999999999999999,1.0,0.4549677933033756,7.568579350842061e-17,1.8921448377105152e-16,-28.257798577375258,0.0037192039739577095,0.009298009934894273,0.14592153584605008,0.9979317672712487,0.9999999999999752,0.4528287706099337,6.552916051167173e-17,2.1843053503890577e-16,14.592153584605008,0.011868044705210159,0.02616591433155789,None,-0.12828821661196618,0.9999999999991392,0.9999999999991392,0.4378184680278751,6.009328767633683e-17,1.5023321919084206e-16
FAM41C,-0.017030641460028768,0.9999980041208779,0.999999999999994,0.5660933597388859,2.345421735608206e-14,3.909036226013677e-14,0.10354408200278656,0.9994619715160459,0.9999999999999988,0.6408856491532583,1.0255677036693675e-10,1.465096719527668e-10,10.354408200278655,0.4136996071625971,0.45966623018066344,0.1816046957036652,0.8319955794809699,0.9999999999999993,0.5871442555313497,4.188359708451285e-12,6.9805995140854755e-12,18.16046957036652,0.009346012112606964,0.031153373708689883,0.2054914470180375,0.8087596122369909,0.9999999999999999,0.5574444971911409,2.6564925122440063e-13,4.4274875204066774e-13,20.54914470180375,0.021864785044706164,0.031235407206723093,-0.0871273589414558,0.9999999999958706,1.0,0.5849951352635453,9.33324220757406e-14,1.5555403679290102e-13,-8.712735894145581,0.2368230805626013,0.33831868651800184,-0.1581891717947412,0.9999999999999315,0.9999999999999752,0.6168259166980286,8.966958937136154e-12,1.2809941338765935e-11,-15.81891717947412,0.03290702259924342,0.04113377824905427,Age,0.2054914470180375,0.8087596122369909,0.9999999999991392,0.5574444971911409,2.6564925122440063e-13,4.4274875204066774e-13
NOC2L,0.11799418772630432,0.9946354726999551,0.999999999999994,0.3959645977941939,5.250943767307252e-18,2.6254718836536256e-17,-0.10270214813411703,0.9999999996767802,0.9999999999999988,0.43724806056401483,1.1034773733112093e-17,5.517386866556046e-17,-0.8704000604872315,0.0036592926255339395,0.009148231563834848,-0.01930231771314666,0.9999993427257158,0.9999999999999993,0.41681249273623655,4.522222934039007e-18,4.522222934039007e-17,-0.1635870214041366,0.25550882029402516,0.3193860253675314,0.05995557598887065,0.9999831290138027,0.9999999999999999,0.4129455083784866,4.011921198939099e-18,3.536697910122244e-17,0.5081231299963839,0.22829123565214765,0.28536404456518455,0.06428282896402807,0.9999403318311402,1.0,0.4541792590640752,2.1084633651411257e-17,7.028211217137086e-17,0.5447965717865403,0.7232689463353914,0.8036321625948794,0.04882088711489036,0.9999537324552453,0.9999999999999752,0.47142555940216335,3.779867676618672e-17,1.8899338383093358e-16,0.41375671171307,0.3569394374382988,0.3569394374382988,None,0.11799418772630432,0.9946354726999551,0.9999999999991392,0.3959645977941939,5.250943767307252e-18,1.7503145891024172e-17
PLEKHN1,0.26303503407670814,0.6590277942526224,0.999999999999994,0.5725751405235744,2.405686609618959e-12,3.436695156598513e-12,-0.1416497297587506,0.9999999999999766,0.9999999999999988,0.6478645933471938,6.589271529087677e-10,8.236589411359596e-10,-0.5385203923726818,3.908449276159173e-06,1.9542246380795862e-05,0.19932298516431787,0.9618581177028956,0.9999999999999993,0.6305583610225521,2.2779736756907585e-10,2.847467094613448e-10,0.7577811292855761,0.5467843402446528,0.607538155827392,-0.10260534008672137,0.9999999999889111,0.9999999999999999,0.5941480783665724,1.4682531066107362e-11,1.8353163832634202e-11,-0.3900824103027997,1.3192656195318574e-05,6.596328097659287e-05,0.15514861320962176,0.9982531467703031,1.0,0.6073327399726488,1.6119104039964102e-11,2.0148880049955126e-11,0.5898401091482598,0.8627876518406198,0.8627876518406198,0.0724597964249545,0.9999952303267856,0.9999999999999752,0.7438926699291735,4.312750297144658e-09,5.390937871430822e-09,0.27547583795937713,0.003183852531021538,0.010612841770071794,None,0.26303503407670814,0.6590277942526224,0.9999999999991392,0.5725751405235744,2.405686609618959e-12,3.436695156598513e-12
HES4,0.5906282130902474,1.7725734492393403e-05,0.00017725734492393403,34797.278888171,3.3731897558682834e-12,4.216487194835354e-12,0.2339696119164619,0.8597106028016328,0.9999999999999988,43556.72888485515,3.333307867649124e-13,5.555513112748541e-13,0.3961368704219207,0.02015518778451028,0.03359197964085047,-0.1309275444667348,0.9999999998317073,0.9999999999999993,46479.04100998967,1.3687640158890921e-11,1.955377165555846e-11,-0.22167505981758648,1.1656292679372442e-10,1.165629267937244e-09,0.03932046405244061,0.9999415809201834,0.9999999999999999,36047.92347071901,3.4561133139981127e-12,4.9373047342830185e-12,0.0665739684982378,0.00012050107725532069,0.0003012526931383017,0.36747424958417807,0.009681090109550327,0.09681090109550326,39182.2895756865,7.055122361351554e-13,1.007874623050222e-12,0.6221752389062193,0.016674947472187455,0.03334989494437491,0.35228527668715964,0.034678804729484945,0.3467880472948494,42369.65303611785,1.2379675867206678e-13,2.0632793112011132e-13,0.596458599300489,0.02015518778451028,0.03359197964085047,None,0.5906282130902474,1.7725734492393403e-05,0.00017725734492393403,34797.278888171,3.3731897558682834e-12,4.216487194835354e-12
ISG15,-0.23768170853793227,0.999999999999994,0.999999999999994,0.427753343505312,6.744669714045674e-17,1.6861674285114184e-16,0.30878249068741126,0.1950099679539759,0.9750498397698795,0.38851447352716334,2.634602240773196e-18,2.634602240773196e-17,30.878249068741127,3.3101152658201375e-14,3.310115265820137e-13,-0.16450228301058673,0.9999999999883828,0.9999999999999993,0.4900605041441827,1.4630208149260054e-16,3.6575520373150134e-16,-16.450228301058672,0.6194813063727098,0.6194813063727098,-0.22581281337998477,0.9999999999999941,0.9999999999999999,0.450131456514766,9.802545411627798e-17,2.4506363529069497e-16,-22.581281337998476,0.7232689463353914,0.7232689463353914,0.3238368620407413,0.0719682027950855,0.3598410139754275,0.39939521207656553,2.7151481913173574e-18,2.7151481913173573e-17,32.38368620407413,3.5589961750842404e-16,3.5589961750842404e-15,-0.02946849043316351,0.9999999800173226,0.9999999999999752,0.44086070007823946,2.0475632727989935e-17,1.8899338383093358e-16,-2.946849043316351,0.0022989324995997366,0.010612841770071794,HPV,0.3238368620407413,0.0719682027950855,0.2398940093169517,0.39939521207656553,2.7151481913173574e-18,1.7503145891024172e-17
C1orf159,0.1152250132203607,0.9935322668920744,0.999999999999994,44658.616695139004,0.004396367957107328,0.004396367957107328,0.3296744892486127,0.04973620481967204,0.49736204819672036,13194.372092620522,0.05267500183767434,0.05267500183767434,2.861136484472609,0.0029116961774387296,0.009148231563834848,-0.27572138628914583,0.9999999999998854,0.9999999999999993,45371.60477891866,0.015818998898748916,0.015818998898748916,-2.3928952454259713,8.799805044331985e-08,4.3999025221659927e-07,-0.16558782493254623,0.9999999999999583,0.9999999999999999,44639.50627425668,0.005749311737260103,0.005749311737260103,-1.4370822819162516,3.944396819218192e-05,0.00013147989397393974,-0.13754202870722929,0.9999999999962814,1.0,55804.80249422167,0.3114723726246568,0.3114723726246568,-1.1936820388485325,8.364638826883108e-07,4.182319413441554e-06,0.2587394619764031,0.4293596114163385,0.9999999999999752,28727.669462702852,0.0027333301373047188,0.0027333301373047188,2.245514708525829,0.02362702108685648,0.03375288726693783,Alcohol,0.3296744892486127,0.04973620481967204,0.2398940093169517,13194.372092620522,0.05267500183767434,0.05267500183767434
TNFRSF18,0.30102260033801326,0.46311903992083736,0.999999999999994,0.43532118595212266,5.250943767307252e-18,2.6254718836536256e-17,-0.061276179991297086,0.9999999961051621,0.9999999999999988,0.4881302323211429,1.3818686095701438e-16,3.4546715239253594e-16,-0.2035600646678724,0.012416070012216125,0.02483214002443225,0.03702349086620637,0.9999831544048858,0.9999999999999993,0.46186184985945267,1.1365762654164322e-17,5.68288132708216e-17,0.12299239600160689,0.02194492182661502,0.04388984365323004,-0.12094851977017308,0.9999999999940068,0.9999999999999999,0.4730522836245234,7.073395820244489e-18,3.536697910122244e-17,-0.40179215658346584,1.2153302781391726e-06,1.2153302781391726e-05,0.32467761737701145,0.1495479607263337,0.49849320242111234,0.43621925004253936,5.573859797774221e-18,2.78692989888711e-17,1.0785821961953566,0.6590733628502143,0.8036321625948794,-0.11833897837246593,0.9999999997722027,0.9999999999999752,0.4960340497122774,2.582106307655877e-16,6.455265769139691e-16,-0.39312323473249206,0.00023635638517238312,0.002363563851723831,None,0.30102260033801326,0.46311903992083736,0.9999999999991392,0.43532118595212266,5.250943767307252e-18,1.7503145891024172e-17
TNFRSF4,-0.22887868673468592,0.9999999926404634,0.999999999999994,0.5906222542015847,1.2820074319231277e-10,1.4244527021368087e-10,-0.26675068937042407,0.9999999999999988,0.9999999999999988,0.6392997621402753,1.3506421480013056e-08,1.5007134977792285e-08,-26.675068937042408,0.593020286951893,0.593020286951893,-0.3843346603475028,0.9999999999999993,0.9999999999999993,0.6171125878769651,1.6357798591444596e-09,1.8175331768271773e-09,-38.43346603475028,0.014973336641275687,0.037433341603189216,-0.3472271174196441,0.9999999999999999,0.9999999999999999,0.643173647986977,3.30678053608963e-09,3.6742005956551447e-09,-34.72271174196441,0.017484432735774318,0.02914072122629053,-0.1272825767083854,0.9999999999852976,1.0,0.600442581778473,1.2261553012088482e-10,1.3623947791209426e-10,-12.728257670838538,0.21090292605660682,0.33831868651800184,-0.2544502042681644,0.9999999999999752,0.9999999999999752,0.6752964790632157,1.040958905553492e-07,1.1566210061705467e-07,-25.445020426816438,0.21236686241326652,0.23596318045918502,None,-0.22887868673468592,0.9999999926404634,0.9999999999991392,0.5906222542015847,1.2820074319231277e-10,1.4244527021368087e-10
SDF4,-0.18636836477903837,0.9999999999999939,0.999999999999994,0.4515317834311465,6.710534756447997e-16,1.3421069512895994e-15,-0.21674077048652265,0.9999999999999941,0.9999999999999988,0.5321053238167621,1.3062396386106613e-15,2.6124792772213226e-15,-21.674077048652265,0.22829123565214765,0.28536404456518455,-0.3237379797517281,0.9999999999999971,0.9999999999999993,0.49338619664404526,1.7206405146748988e-15,3.4412810293497976e-15,-32.373797975172806,0.03983544677575195,0.06639241129291992,-0.34546912322889467,0.9999999999999999,0.9999999999999999,0.4697098098687023,7.501886431079949e-16,1.5003772862159899e-15,-34.54691232288947,0.0014242560648809004,0.002848512129761801,-0.36689044995577014,1.0,1.0,0.4925910490182226,8.15506389220898e-16,1.631012778441796e-15,-36.689044995577014,0.0036592926255339395,0.009298009934894273,-0.03089115453794798,0.9999999953218277,0.9999999999999752,0.4992800547642553,6.525910901511763e-16,1.3051821803023527e-15,-3.089115453794798,0.013082957165778945,0.02616591433155789,Tobacco,-0.03089115453794798,0.9999999953218277,0.9999999999991392,0.4992800547642553,6.525910901511763e-16,1.3051821803023527e-15
