gene,pcc,pcc_pval,pcc_qval,NMAE,NMAE_pval,NMAE_qval,pcc_Alc,pcc_pval_Alc,pcc_qval_Alc,NMAE_Alc,NMAE_pval_Alc,NMAE_qval_Alc,pcc_FC_Alc,pcc_FC_pval_Alc,pcc_FC_qval_Alc,pcc_Sex,pcc_pval_Sex,pcc_qval_Sex,NMAE_Sex,NMAE_pval_Sex,NMAE_qval_Sex,pcc_FC_Sex,pcc_FC_pval_Sex,pcc_FC_qval_Sex,pcc_Age,pcc_pval_Age,pcc_qval_Age,NMAE_Age,NMAE_pval_Age,NMAE_qval_Age,pcc_FC_Age,pcc_FC_pval_Age,pcc_FC_qval_Age,pcc_HPV,pcc_pval_HPV,pcc_qval_HPV,NMAE_HPV,NMAE_pval_HPV,NMAE_qval_HPV,pcc_FC_HPV,pcc_FC_pval_HPV,pcc_FC_qval_HPV,pcc_Tob,pcc_pval_Tob,pcc_qval_Tob,NMAE_Tob,NMAE_pval_Tob,NMAE_qval_Tob,pcc_FC_Tob,pcc_FC_pval_Tob,pcc_FC_qval_Tob,confounder_best,pcc_best,pcc_pval_best,pcc_qval_best,NMAE_best,NMAE_pval_best,NMAE_qval_best
AP006222.2,0.15002926050687695,0.9947915158658345,1.0,0.39474259109053506,2.0696869543572095e-18,3.3362023627841474e-18,-0.10798308971099409,0.999999999981309,0.9999999999999969,0.43309417815742435,2.265930530554773e-18,3.2370436150782474e-18,-0.7197468636862635,0.0020797776065107115,0.004159555213021423,0.08439026681693564,0.999965949569234,0.9999999999999867,0.3919722282681481,2.00807784273135e-18,3.449478257262016e-18,0.5624920534289203,0.6122285268683492,0.6122285268683492,0.23943390327050681,0.7763337895915517,0.9999999999999923,0.4088155346215261,2.0696869543572095e-18,3.449478257262016e-18,1.595914706648386,0.47495853988950676,0.5936981748618834,0.17244406154768604,0.998839320410484,0.9999999999999999,0.38299206936506247,2.00807784273135e-18,3.293252800966495e-18,1.1494028629154087,1.0,1.0,-0.017069728095144135,0.9999999998177994,0.9999999999999999,0.4116945764506233,2.00807784273135e-18,3.14079539584421e-18,-0.11377599301278768,0.05327777704660508,0.07611111006657868,None,0.15002926050687695,0.9947915158658345,0.9999377699747176,0.39474259109053506,2.0696869543572095e-18,3.449478257262016e-18
LINC00115,0.3701585988869434,0.16903663776939687,0.5634554592313229,0.38290506703577454,3.083034879808227e-17,3.4255943108980304e-17,-0.011611663621835387,0.9999997333193515,0.9999999999999969,0.4098442184467524,1.3173413122999027e-17,1.6466766403748783e-17,-0.031369428284933366,1.681939797090442e-05,4.737578322084077e-05,-0.07016514064993595,0.9999998922827855,0.9999999999999867,0.4006808301643307,3.779867676618672e-17,4.7248345957733394e-17,-0.18955426366136185,1.1374422852856831e-06,3.7914742842856105e-06,0.2893009879945194,0.35310489982743065,0.8827622495685766,0.39040942121414846,2.7151481913173574e-18,3.878783130453368e-18,0.7815595500535161,1.0,1.0,-0.08256019667058187,0.9999999132091899,0.9999999999999999,0.39216700594223364,3.4640105986274376e-17,3.4640105986274376e-17,-0.22304006152724287,0.00015110030314041277,0.0003777507578510319,0.0631077592833753,0.9999938369268486,0.9999999999999999,0.40486446713136687,1.6189188495715367e-17,1.798798721746152e-17,0.17048843245338233,0.04444636749601056,0.0740772791600176,None,0.3701585988869434,0.16903663776939687,0.33807327553879374,0.38290506703577454,3.083034879808227e-17,3.4255943108980304e-17
FAM41C,0.15496013018403423,0.9982276067412055,1.0,0.38143697322385406,1.9482799225479546e-18,3.3362023627841474e-18,0.11275799257083458,0.9996537882760058,0.9999999999999969,0.40623553511349253,1.9482799225479546e-18,3.2370436150782474e-18,0.7276580913872528,0.7674277222809056,0.7674277222809056,0.22392466352605273,0.8664488588992985,0.9999999999999867,0.4043653016467703,1.9482799225479546e-18,3.449478257262016e-18,1.4450469502065764,0.4062865720403781,0.451429524489309,0.13778398901317676,0.9996493512314959,0.9999999999999923,0.39999629424899086,1.9482799225479546e-18,3.449478257262016e-18,0.889157674619538,1.0,1.0,0.20983166595557903,0.9046045950282988,0.9999999999999999,0.38434129263899214,1.9482799225479546e-18,3.293252800966495e-18,1.3541009916962388,0.08592542587320934,0.14320904312201557,-0.008346791496326741,0.9999999985172133,0.9999999999999999,0.4216330527401322,1.9482799225479546e-18,3.14079539584421e-18,-0.05386412289673414,0.003102331764534321,0.007755829411335803,None,0.15496013018403423,0.9982276067412055,0.9999377699747176,0.38143697322385406,1.9482799225479546e-18,3.449478257262016e-18
NOC2L,-0.3138946816780778,0.9999999999999583,1.0,0.4028732438554993,2.335341653948903e-18,3.3362023627841474e-18,-0.21803224113948433,0.9999999999999922,0.9999999999999969,0.42545068857381174,2.0696869543572095e-18,3.2370436150782474e-18,-21.80322411394843,0.33875610886420493,0.42344513608025613,0.09782892277759038,0.9999377699747176,0.9999999999999867,0.46799125466407754,9.802545411627798e-17,9.802545411627798e-17,9.782892277759037,1.1955549596834085e-08,5.977774798417042e-08,0.024528148115449802,0.9999997637376918,0.9999999999999923,0.48442766725055864,2.0288395520577663e-15,2.0288395520577663e-15,2.45281481154498,5.869000426358564e-06,1.9563334754528546e-05,-0.2865510407159322,0.9999999999999999,0.9999999999999999,0.4171019950136035,2.4805208541325787e-18,3.293252800966495e-18,-28.655104071593218,0.30624102786693413,0.40274850770322335,-0.263317366786012,0.9999999999999999,0.9999999999999999,0.4164916478183431,2.1985567770909467e-18,3.14079539584421e-18,-26.331736678601196,0.30624102786693413,0.38280128483366765,Sex,0.09782892277759038,0.9999377699747176,0.9999377699747176,0.46799125466407754,9.802545411627798e-17,9.802545411627798e-17
KLHL17,-0.04056499458250326,0.9998931884765625,1.0,0.41319316514830007,2.069570384556043e-18,3.3362023627841474e-18,0.1775477510887418,0.9819631303011656,0.9999999999999969,0.41488997848553383,2.0696869543572095e-18,3.2370436150782474e-18,17.754775108874178,0.00892682776133486,0.014878046268891434,0.007939438980248367,0.9999999757882053,0.9999999999999867,0.4180248098503163,2.069570384556043e-18,3.449478257262016e-18,0.7939438980248367,0.35744441350721856,0.451429524489309,0.36390627354669264,0.03292056038810475,0.32920560388104747,0.38283020303098914,1.9482799225479546e-18,3.449478257262016e-18,36.39062735466926,0.0002781876303583046,0.0006954690758957615,0.3983585354517726,0.004234698919840389,0.03579129853227947,0.38430192860238693,2.0079646543541904e-18,3.293252800966495e-18,39.83585354517726,0.00021086983976067514,0.0004217396795213503,-0.044001528932358334,0.9999999958735305,0.9999999999999999,0.4279039275300256,2.0696869543572095e-18,3.14079539584421e-18,-4.400152893235833,0.554621773167217,0.554621773167217,HPV,0.3983585354517726,0.004234698919840389,0.014115663066134631,0.38430192860238693,2.0079646543541904e-18,3.449478257262016e-18
PLEKHN1,0.009999999999999998,1.0,1.0,0.3736354190247622,2.00807784273135e-18,3.3362023627841474e-18,-0.38677841356521114,0.9999999999999969,0.9999999999999969,0.4016919404135053,2.00807784273135e-18,3.2370436150782474e-18,-38.677841356521114,1.895031328833631e-05,4.737578322084077e-05,-0.16973329417182423,0.9999999977624477,0.9999999999999867,0.38896436308284044,2.00807784273135e-18,3.449478257262016e-18,-16.973329417182423,1.8315018493408053e-11,1.8315018493408053e-10,0.30684883337383395,0.2330238113795673,0.776746037931891,0.3841904349270675,2.00807784273135e-18,3.449478257262016e-18,30.684883337383393,1.6022290570705773e-29,1.6022290570705773e-28,-0.06060019634810559,0.9999999906120116,0.9999999999999999,0.3817982739996768,2.00807784273135e-18,3.293252800966495e-18,-6.060019634810558,8.35369188749329e-15,8.35369188749329e-14,-0.012376801010529211,0.9999999890625575,0.9999999999999999,0.3824812706539013,2.00807784273135e-18,3.14079539584421e-18,-1.237680101052921,3.477623725429254e-15,3.477623725429254e-14,Age,0.30684883337383395,0.2330238113795673,0.3883730189659455,0.3841904349270675,2.00807784273135e-18,3.449478257262016e-18
HES4,0.7395616012627476,1.7614752381994088e-09,1.7614752381994088e-08,0.3963592314895807,1.9482799225479546e-18,3.3362023627841474e-18,0.3344498953437151,0.09279220206263533,0.46396101031317666,0.40906665934245623,1.9482799225479546e-18,3.2370436150782474e-18,0.45222723133903414,8.433624016403648e-06,4.2168120082018236e-05,0.5720347824120581,3.103698327048443e-11,3.1036983270484426e-10,0.3730565499377527,2.0696869543572095e-18,3.449478257262016e-18,0.7734782084891243,0.017564929183716,0.04391232295929,0.3023174709269643,0.20604589332903095,0.776746037931891,0.41036884320010386,1.9482799225479546e-18,3.449478257262016e-18,0.40877929628955756,2.2927602748872474e-08,1.1463801374436237e-07,0.16957522656370705,0.9903546406381631,0.9999999999999999,0.4131074766554723,1.9482799225479546e-18,3.293252800966495e-18,0.22929155093256556,2.886422269270764e-09,9.62140756423588e-09,0.26617419795818803,0.5735066815638115,0.9999999999999999,0.41665302736464094,2.00807784273135e-18,3.14079539584421e-18,0.3599080827124001,2.054293154643793e-08,6.847643848812644e-08,None,0.7395616012627476,1.7614752381994088e-09,1.7614752381994088e-08,0.3963592314895807,1.9482799225479546e-18,3.449478257262016e-18
ISG15,0.23787075303160019,0.6575266840024696,1.0,0.3846002618268772,1.9482799225479546e-18,3.3362023627841474e-18,0.3745248772109983,0.017980056666180425,0.17980056666180425,0.36342252560571586,1.9482799225479546e-18,3.2370436150782474e-18,1.5744889711651275,0.47950012218695337,0.5327779135410593,0.13438574253668295,0.9986874438948878,0.9999999999999867,0.40262344842032355,1.9482799225479546e-18,3.449478257262016e-18,0.5649527771866528,0.3221988061625787,0.451429524489309,0.14878512468585983,0.994306733923539,0.9999999999999923,0.40865751586297855,1.9482799225479546e-18,3.449478257262016e-18,0.6254872563761309,0.20309178757716426,0.29013112511023464,0.3038074937813142,0.22263983170833457,0.7421327723611153,0.38041599485287947,1.9482799225479546e-18,3.293252800966495e-18,1.2771956615488353,0.3221988061625787,0.40274850770322335,0.19869744796073086,0.9678301623992044,0.9999999999999999,0.3873408551263544,1.9482799225479546e-18,3.14079539584421e-18,0.835316849290567,0.47950012218695337,0.5327779135410593,None,0.23787075303160019,0.6575266840024696,0.9393238342892424,0.3846002618268772,1.9482799225479546e-18,3.449478257262016e-18
AGRN,-0.46288280907928825,0.9999999613013377,1.0,0.4574228711482651,5.353159675206607e-17,5.353159675206607e-17,0.17064893831980987,0.9877975819871629,0.9999999999999969,0.4437623554250923,4.6315516892333295e-17,5.146168543592588e-17,17.06489383198099,3.8071469152576693e-10,3.807146915257669e-09,-0.3838992333126375,0.9999999999999867,0.9999999999999867,0.4682931614050163,5.671895386378406e-17,6.302105984864895e-17,-38.389923331263745,0.18607262561410984,0.3721452512282197,-0.23998022218690196,0.9999999999999923,0.9999999999999923,0.4667878105426269,4.7677489925531396e-17,5.2974988806145994e-17,-23.998022218690195,0.17972575148840225,0.29013112511023464,0.22323978730721072,0.7950157852891522,0.9999999999999999,0.42584936529914175,2.5132287672016863e-17,2.792476408001874e-17,22.323978730721073,2.2425731426830546e-10,1.1212865713415273e-09,0.4327198742927117,0.0005005609924836794,0.005005609924836793,0.39012825802281753,6.279608294570544e-18,7.84951036821318e-18,43.27198742927117,1.5408299443804445e-12,7.704149721902222e-12,Tobacco,0.4327198742927117,0.0005005609924836794,0.0025028049624183967,0.39012825802281753,6.279608294570544e-18,7.84951036821318e-18
C1orf159,0.4216977549151777,0.02917866320124035,0.14589331600620176,0.45520011540028,5.410024584632045e-18,6.762530730790056e-18,0.25893546858939226,0.7418934725712678,0.9999999999999969,0.5402816544457453,2.7323422495744256e-16,2.7323422495744256e-16,0.6140309393904072,0.12130572712352304,0.1732938958907472,0.32002137939081815,0.16769551795547388,0.8384775897773694,0.5204983012042677,1.7169535543663064e-17,2.4527907919518666e-17,0.7588880321527649,0.3933199801456486,0.451429524489309,0.09256344444524761,0.9996443883915335,0.9999999999999923,0.4982974223827263,3.566290689943998e-17,4.457863362429997e-17,0.2195018668379353,0.003778918374751653,0.007557836749503306,0.3951104370421547,0.007158259706455895,0.03579129853227947,0.4366362539776468,2.634602240773196e-18,3.293252800966495e-18,0.9369517206028974,1.0,1.0,0.2365633641100055,0.8194096036470842,0.9999999999999999,0.49121735441029757,2.8106579316617156e-16,2.8106579316617156e-16,0.5609784765337178,0.010384071157957073,0.020768142315914145,None,0.4216977549151777,0.02917866320124035,0.07294665800310088,0.45520011540028,5.410024584632045e-18,7.72860654947435e-18
